stock_code,abc_class,cluster_label,cluster_name,pick_frequency,monthly_velocity,total_sales
84970S,A,0,A-Group (Fast),812,1429.2727272727273,12769.4201945066
21790,A,0,A-Group (Fast),801,939.5454545454544,8614.34025323391
20726,A,0,A-Group (Fast),800,1042.181818181818,18812.4600836039
21181,A,0,A-Group (Fast),777,980.8181818181818,21365.389670372
82482,A,0,A-Group (Fast),774,625.9090909090909,16283.0395092964
21621,A,0,A-Group (Fast),770,357.090909090909,34119.8698482513
22355,A,0,A-Group (Fast),757,1046.9090909090908,12499.1002219915
84992,A,0,A-Group (Fast),755,1668.181818181818,9265.83003139496
22356,A,0,A-Group (Fast),750,865.2727272727273,8536.20021486282
84836,A,0,A-Group (Fast),749,1133.7272727272727,15094.6497858763
22114,A,0,A-Group (Fast),731,410.7272727272727,18909.3501355648
22379,A,0,A-Group (Fast),730,757.8,16175.4497352839
21175,A,0,A-Group (Fast),729,694.090909090909,15061.139721632
22197,A,0,A-Group (Fast),719,2038.0909090909088,17895.9105921984
21535,A,0,A-Group (Fast),713,373.3636363636363,10364.6797597408
21213,A,0,A-Group (Fast),708,2056.8181818181815,11528.8100670576
22189,A,0,A-Group (Fast),699,623.2727272727273,22752.0201592445
48194,A,0,A-Group (Fast),687,367.7272727272727,24590.429599762
22111,A,0,A-Group (Fast),687,328.7272727272727,18162.7096710205
84946,A,0,A-Group (Fast),676,1230.2727272727273,17523.8396314383
85152,A,0,A-Group (Fast),674,663.4545454545454,13885.7297754288
22083,A,0,A-Group (Fast),673,728.9090909090909,22593.3999123573
21929,A,0,A-Group (Fast),655,1241.181818181818,24628.7600049973
20719,A,0,A-Group (Fast),655,916.6363636363636,9595.12021827698
22149,A,0,A-Group (Fast),652,467.5454545454545,10705.1997025013
22178,A,0,A-Group (Fast),649,1026.2727272727273,14033.6897902489
21928,A,0,A-Group (Fast),645,1138.8181818181818,22660.5999927521
22077,A,0,A-Group (Fast),642,584.5454545454545,10827.2899160385
20972,A,0,A-Group (Fast),641,1012.090909090909,13206.4697406292
82580,A,0,A-Group (Fast),635,619.090909090909,3657.97002756596
21975,A,0,A-Group (Fast),628,1604.6363636363635,8466.00002491474
84978,A,0,A-Group (Fast),626,758.2727272727273,10877.8298091888
22112,A,0,A-Group (Fast),626,314.4545454545454,17145.2696943283
22457,A,0,A-Group (Fast),621,610.75,14433.0200788975
84520B,A,0,A-Group (Fast),618,618.9090909090909,5901.51003921032
21527,A,0,A-Group (Fast),616,237.8181818181818,19266.8696451187
21210,A,0,A-Group (Fast),616,762.4545454545454,12018.710287571
47591D,A,0,A-Group (Fast),611,484.090909090909,9929.79011905193
21524,A,0,A-Group (Fast),610,294.090909090909,20317.1896343231
48187,A,0,A-Group (Fast),597,287.1818181818181,19726.1796264648
82486,A,0,A-Group (Fast),595,211.090909090909,17661.7295331955
84755,A,0,A-Group (Fast),593,2120.181818181818,14221.1599330902
21429,A,0,A-Group (Fast),589,342.8181818181818,6469.159943223
21791,A,0,A-Group (Fast),585,742.8181818181818,9821.72979569435
85150,A,0,A-Group (Fast),584,359.3636363636363,9964.51976799965
20723,A,0,A-Group (Fast),583,675.8181818181818,6713.11016845703
22352,A,0,A-Group (Fast),581,330.090909090909,9069.54977083206
21166,A,0,A-Group (Fast),577,745.3636363636363,14656.0703904629
21485,A,0,A-Group (Fast),575,270.090909090909,14281.4496831894
22381,A,0,A-Group (Fast),574,506.9,10629.229780674
21731,A,0,A-Group (Fast),574,1157.3636363636365,20881.120118618
82600,A,0,A-Group (Fast),572,526.5454545454545,11257.3298473358
20718,A,0,A-Group (Fast),569,687.090909090909,9440.32979416847
21559,A,0,A-Group (Fast),568,347.1818181818181,9417.14975047112
84997B,A,0,A-Group (Fast),565,423.3636363636363,17396.800154686
84970L,A,0,A-Group (Fast),562,945.6363636363636,9869.28005760908
21533,A,0,A-Group (Fast),561,163.6363636363636,8997.32978010178
48185,A,0,A-Group (Fast),560,274.1818181818181,20097.8796405792
22326,A,0,A-Group (Fast),559,569.8,16393.9399995804
22585,A,0,A-Group (Fast),553,1083.375,10830.6298789978
84997C,A,0,A-Group (Fast),553,425.6363636363636,17112.730162859
72741,A,0,A-Group (Fast),552,1137.8181818181818,17273.0402562618
20713,A,0,A-Group (Fast),549,737.7272727272727,15298.7700669765
71459,A,0,A-Group (Fast),547,1703.6363636363635,15367.9004992247
22528,A,0,A-Group (Fast),546,720.875,7457.20988798141
15056N,A,0,A-Group (Fast),545,626.1818181818181,33687.8791246414
84029E,A,0,A-Group (Fast),540,378.6363636363636,14602.9601659775
22348,A,0,A-Group (Fast),536,700.2727272727273,6433.79018974304
21523,A,0,A-Group (Fast),534,299.5454545454545,21610.4795970917
21930,A,0,A-Group (Fast),532,577.3636363636363,12031.5700993538
22086,A,0,A-Group (Fast),529,774.5454545454545,24566.4898412228
84997D,A,0,A-Group (Fast),526,459.1818181818181,18301.2902011871
22219,A,0,A-Group (Fast),524,448.1818181818181,4588.10009074211
37503,A,0,A-Group (Fast),522,273.8888888888888,25428.3297939301
22029,A,0,A-Group (Fast),522,757.6363636363636,3455.51996845007
22297,A,0,A-Group (Fast),519,757.9090909090909,10727.0099437237
20971,A,0,A-Group (Fast),519,824.9090909090909,10982.5197687149
21868,A,0,A-Group (Fast),512,560.1818181818181,7312.47994041443
22147,A,0,A-Group (Fast),511,497.0,7624.81015372276
21217,A,0,A-Group (Fast),509,143.8181818181818,15709.9396982193
21174,A,0,A-Group (Fast),509,450.7272727272727,9044.42010045052
22328,A,0,A-Group (Fast),507,532.1,14854.7099692822
22367,A,0,A-Group (Fast),501,351.0,6692.93009209633
21936,A,0,A-Group (Fast),500,335.5454545454545,10714.850007534
22551,A,0,A-Group (Fast),499,717.25,9397.54997885227
85232B,A,0,A-Group (Fast),497,236.9090909090909,13209.1996679306
82483,A,0,A-Group (Fast),497,194.6363636363636,11907.9196062088
21955,A,0,A-Group (Fast),496,239.7272727272727,15743.899728775
22417,A,0,A-Group (Fast),496,1148.2,5824.00002551079
84406B,A,0,A-Group (Fast),495,410.4545454545454,13613.4299993515
21622,A,0,A-Group (Fast),493,291.0,17335.7194818258
85014B,A,0,A-Group (Fast),491,364.4545454545454,18417.3795871735
22385,A,0,A-Group (Fast),489,743.4,13561.3000619411
21976,A,0,A-Group (Fast),488,765.9090909090909,4408.24002426863
21156,A,0,A-Group (Fast),488,427.8181818181818,8661.63007879257
22556,A,0,A-Group (Fast),486,706.0,9080.41997659206
21035,A,0,A-Group (Fast),485,256.3636363636363,8503.60004878044
84378,A,0,A-Group (Fast),481,429.1818181818181,6103.13996529579
15056BL,A,0,A-Group (Fast),477,565.0,29048.7392034531
22087,A,0,A-Group (Fast),474,347.4545454545454,11913.5599822998
21531,A,0,A-Group (Fast),473,202.9090909090909,5693.23986363411
22294,A,0,A-Group (Fast),473,862.9090909090909,11754.7798745632
21238,A,0,A-Group (Fast),472,479.7272727272727,4443.01012516022
82581,A,0,A-Group (Fast),471,395.2727272727272,2391.95003503561
82583,A,0,A-Group (Fast),471,433.4545454545454,9337.10990428925
20712,A,0,A-Group (Fast),470,664.090909090909,13926.6900837421
20754,A,0,A-Group (Fast),469,303.9090909090909,6725.87991762161
20711,A,0,A-Group (Fast),468,572.4545454545454,12005.6000692844
84270,A,0,A-Group (Fast),468,2064.454545454545,4776.62986183167
22353,A,0,A-Group (Fast),468,270.7272727272727,7758.97980618477
22055,A,0,A-Group (Fast),467,296.2727272727272,5602.11999642849
84692,A,0,A-Group (Fast),467,931.9090909090908,4484.93987882137
20676,A,0,A-Group (Fast),463,462.1818181818181,6228.53988361359
84988,A,0,A-Group (Fast),463,334.1818181818181,5711.02013468742
21218,A,0,A-Group (Fast),456,237.7272727272727,9817.10002350807
20750,A,0,A-Group (Fast),455,159.1818181818181,12771.4297456741
21314,A,0,A-Group (Fast),451,558.9090909090909,12663.2998790741
47590B,A,0,A-Group (Fast),450,300.090909090909,16692.4398856163
21165,A,0,A-Group (Fast),448,427.4545454545454,7374.52022171021
21172,A,0,A-Group (Fast),446,339.8181818181818,5362.47011828423
22198,A,0,A-Group (Fast),439,434.6363636363636,8237.67997026443
22196,A,0,A-Group (Fast),438,284.1818181818181,2834.2000656724
22557,A,0,A-Group (Fast),434,541.25,7016.24001836777
21121,A,0,A-Group (Fast),433,660.1818181818181,8869.5399107933
48111,A,0,A-Group (Fast),433,265.1818181818181,16912.0297336578
21155,A,0,A-Group (Fast),433,301.8181818181818,6576.04991054535
20975,A,0,A-Group (Fast),433,918.0,6530.87982869148
22554,A,0,A-Group (Fast),433,581.5,7684.92996537685
22027,A,0,A-Group (Fast),432,546.6363636363636,2561.93995890021
22624,A,0,A-Group (Fast),431,184.3333333333333,9460.88001823425
21908,A,0,A-Group (Fast),431,490.1818181818181,10285.3998682499
22082,A,0,A-Group (Fast),429,354.7272727272727,6329.84997475147
21985,A,0,A-Group (Fast),429,1456.3636363636365,6021.43993514776
22296,A,0,A-Group (Fast),428,529.4545454545454,9516.98995625973
21539,A,0,A-Group (Fast),426,147.0,8108.70984363556
21889,A,0,A-Group (Fast),425,442.8181818181818,6348.83991765976
47556B,A,0,A-Group (Fast),425,225.090909090909,7286.15006542206
84987,A,0,A-Group (Fast),424,415.8181818181818,6640.08017849922
22487,A,0,A-Group (Fast),424,94.875,7577.74988079071
21122,A,0,A-Group (Fast),419,567.1818181818181,7599.66992807388
15036,A,0,A-Group (Fast),416,1706.7272727272727,13149.4696811438
21498,A,0,A-Group (Fast),415,1302.2727272727273,5796.49985805154
22558,A,0,A-Group (Fast),415,681.5714285714286,5716.01988148689
82552,A,0,A-Group (Fast),413,345.5454545454545,4643.2499396801
21974,A,0,A-Group (Fast),411,417.0,6675.53014755249
21094,A,0,A-Group (Fast),411,901.9090909090908,7695.44000768662
47568,A,0,A-Group (Fast),410,264.8888888888888,4983.01989126205
84077,A,0,A-Group (Fast),407,3784.636363636364,8546.60995782912
22413,A,0,A-Group (Fast),406,298.7,7959.57005143166
22271,A,0,A-Group (Fast),406,224.0,7056.91005659103
22173,A,0,A-Group (Fast),406,194.6363636363636,6279.95003342628
21078,A,0,A-Group (Fast),406,398.090909090909,3576.0100351572
21239,A,0,A-Group (Fast),405,370.7272727272727,3480.18009287119
84050,A,0,A-Group (Fast),404,549.2727272727273,8854.68996286392
22617,A,0,A-Group (Fast),404,219.125,8421.78977489471
21240,A,0,A-Group (Fast),403,346.0,3234.06008690596
21154,A,0,A-Group (Fast),401,327.2727272727272,4814.32992959023
21900,A,0,A-Group (Fast),400,433.090909090909,3103.53988409042
22273,A,0,A-Group (Fast),399,206.6363636363636,6579.370033741
22666,A,0,A-Group (Fast),397,430.0,5131.60004138947
22561,A,0,A-Group (Fast),396,626.125,8198.0199649334
21164,A,0,A-Group (Fast),395,351.1818181818181,10474.8300085068
82484,A,0,A-Group (Fast),395,434.7142857142857,16527.6101446152
22553,A,0,A-Group (Fast),395,349.625,4588.27996659279
21481,A,0,A-Group (Fast),395,327.7272727272727,10261.6799557209
84839,A,0,A-Group (Fast),393,138.4545454545454,8747.05013751984
71477,A,0,A-Group (Fast),393,607.3636363636363,19253.2499933243
22064,A,0,A-Group (Fast),393,388.7272727272727,7047.93003165722
21937,A,0,A-Group (Fast),389,210.3636363636363,6912.11999607086
82551,A,0,A-Group (Fast),387,242.4545454545454,3453.96998286247
22646,A,0,A-Group (Fast),387,637.8333333333333,5558.81012868881
22464,A,0,A-Group (Fast),385,490.375,6640.50995790958
48184,A,0,A-Group (Fast),384,209.9090909090909,14203.1097192764
22150,A,0,A-Group (Fast),384,394.1818181818181,7719.74002456665
22502,A,0,A-Group (Fast),381,250.0,7390.73998069763
22295,A,0,A-Group (Fast),379,445.9090909090909,8040.60995018482
84029G,A,0,A-Group (Fast),379,210.6363636363636,8655.08013677597
21870,A,0,A-Group (Fast),378,352.4545454545454,4742.93992733955
47559B,A,0,A-Group (Fast),376,250.1818181818181,3425.24995565414
85014A,A,0,A-Group (Fast),374,301.1818181818181,14335.9097099304
20677,A,0,A-Group (Fast),374,349.090909090909,4687.00990605354
21673,A,0,A-Group (Fast),373,492.6363636363636,6879.40987634659
21672,A,0,A-Group (Fast),373,531.1818181818181,7259.91986823082
22607,A,0,A-Group (Fast),371,164.2857142857142,9869.97000789642
22073,A,0,A-Group (Fast),371,147.3636363636363,6456.86003494263
22507,A,0,A-Group (Fast),371,223.125,8384.86978816986
22212,A,0,A-Group (Fast),369,186.3636363636363,4179.03985929489
21912,A,0,A-Group (Fast),365,147.8181818181818,6327.10003709793
21086,A,0,A-Group (Fast),365,759.5454545454545,5207.44978260994
82578,B,0,A-Group (Fast),365,304.0,1801.5900169611
85066,A,0,A-Group (Fast),363,97.2727272727272,13179.5299444199
21918,A,0,A-Group (Fast),362,621.7272727272727,2810.48996853828
22195,A,0,A-Group (Fast),361,247.9090909090909,4647.21997153759
48188,A,0,A-Group (Fast),361,240.1818181818181,15237.9397592545
21888,A,0,A-Group (Fast),361,138.3636363636363,5992.34002542496
20974,A,0,A-Group (Fast),361,442.9090909090909,3257.71989774704
47566B,A,0,A-Group (Fast),360,277.7272727272727,13013.1301455498
21670,A,0,A-Group (Fast),360,386.0,5580.41993093491
84380,A,0,A-Group (Fast),359,372.1818181818181,5179.83991599083
22088,A,0,A-Group (Fast),359,215.5454545454545,6995.94001197815
22505,A,0,A-Group (Fast),359,234.625,8972.33978748322
21871,A,0,A-Group (Fast),358,503.6363636363636,6306.68999266624
22030,A,0,A-Group (Fast),358,562.090909090909,2530.77996945381
21907,A,0,A-Group (Fast),358,255.1,5324.49981784821
79321,A,0,A-Group (Fast),358,362.1818181818181,18924.3398752213
22131,A,0,A-Group (Fast),357,267.1818181818181,5455.09002661705
22630,A,0,A-Group (Fast),354,1016.5,7602.04007411003
21877,A,0,A-Group (Fast),354,731.4545454545454,8296.6799697876
22555,A,0,A-Group (Fast),353,590.0,7522.52999329567
21935,A,0,A-Group (Fast),352,321.9090909090909,6422.8800330162
21124,A,0,A-Group (Fast),351,481.3636363636363,6460.70994448662
22301,A,0,A-Group (Fast),351,234.9090909090909,6556.47984290123
21668,A,0,A-Group (Fast),351,401.090909090909,5810.34993624687
22380,A,0,A-Group (Fast),350,338.2,6829.11987006664
79323W,A,0,A-Group (Fast),349,300.4,18048.719622612
71053,A,0,A-Group (Fast),346,228.9090909090909,9345.56017398834
22061,A,0,A-Group (Fast),345,137.7272727272727,14156.6899328232
21390,A,0,A-Group (Fast),345,609.3636363636363,8277.22992610931
21411,A,0,A-Group (Fast),345,109.5454545454545,4931.46999835968
22488,A,0,A-Group (Fast),343,406.25,5470.01997590065
21669,A,0,A-Group (Fast),343,450.0,6242.24989509583
79029,A,0,A-Group (Fast),343,327.1111111111111,5473.82002568245
22499,A,0,A-Group (Fast),341,156.1111111111111,8488.65974922478
22444,A,0,A-Group (Fast),341,965.25,10023.8799564838
22329,A,0,A-Group (Fast),340,332.0,5379.55002236366
22629,A,0,A-Group (Fast),340,1062.0,7879.04008865356
20679,A,0,A-Group (Fast),337,378.090909090909,18399.3895730972
85049E,A,0,A-Group (Fast),337,258.090909090909,3684.99997615814
35961,A,0,A-Group (Fast),335,721.7272727272727,6410.36019361019
22188,A,0,A-Group (Fast),335,426.4545454545454,13495.5299696922
22508,A,0,A-Group (Fast),334,134.875,4242.3600127697
21901,A,0,A-Group (Fast),334,355.9090909090909,2514.72990345955
21385,A,0,A-Group (Fast),332,597.9090909090909,5580.85015070438
37448,A,0,A-Group (Fast),332,276.5454545454545,4537.14001464844
22084,A,0,A-Group (Fast),331,310.2727272727272,9371.22000217438
22625,A,0,A-Group (Fast),331,143.0,7413.65000867844
22151,A,0,A-Group (Fast),330,1004.090909090909,4639.69991722703
20675,A,0,A-Group (Fast),330,280.5454545454545,3759.92993688583
20749,A,0,A-Group (Fast),329,102.1818181818181,8273.77983283997
21891,A,0,A-Group (Fast),328,305.0,4201.12995433807
22584,A,0,A-Group (Fast),328,320.875,6496.15983486176
22227,A,0,A-Group (Fast),328,311.7272727272727,2462.23991847038
21484,A,0,A-Group (Fast),327,165.6363636363636,6226.30008745193
22467,A,0,A-Group (Fast),326,408.0,7591.60975337029
21380,A,0,A-Group (Fast),326,199.4545454545454,6516.05006456375
21216,A,0,A-Group (Fast),326,145.4545454545454,7901.90987491608
21509,B,0,A-Group (Fast),325,412.7272727272727,1840.50998455286
84949,A,0,A-Group (Fast),325,518.3636363636363,9111.36005985737
21114,A,0,A-Group (Fast),325,355.1818181818181,4986.01998329163
22333,A,0,A-Group (Fast),324,426.5454545454545,7287.65008163452
20979,A,0,A-Group (Fast),323,342.2727272727272,4732.24995040894
22910,A,0,A-Group (Fast),322,2065.5,11547.3899953365
21260,A,0,A-Group (Fast),321,198.0,7265.24004650116
22605,A,0,A-Group (Fast),321,143.8571428571428,11605.4298839569
82582,A,0,A-Group (Fast),320,261.9,5322.32986688614
21671,A,0,A-Group (Fast),318,434.8181818181818,5877.5898911953
22236,A,0,A-Group (Fast),318,71.3636363636363,9907.41995048523
22358,A,0,A-Group (Fast),318,187.9,5561.93000531197
22327,A,0,A-Group (Fast),318,176.0,5207.18002080917
21242,A,0,A-Group (Fast),317,324.5454545454545,5920.11017918587
21777,A,0,A-Group (Fast),317,84.8181818181818,7555.88981533051
22274,A,0,A-Group (Fast),315,195.2727272727272,5962.48001074791
22080,A,0,A-Group (Fast),315,216.7272727272727,3983.90996146202
20828,A,0,A-Group (Fast),314,260.1818181818181,6841.18979811668
35004C,A,0,A-Group (Fast),313,206.0,12368.9401507378
22366,A,0,A-Group (Fast),312,159.2,10081.4398293495
21980,A,0,A-Group (Fast),312,2117.0,6145.14994117618
20983,A,0,A-Group (Fast),311,255.090909090909,2461.34006226063
22275,A,0,A-Group (Fast),311,79.6363636363636,7338.98002815247
20717,A,0,A-Group (Fast),310,287.7272727272727,3853.4199347496
72760B,A,0,A-Group (Fast),309,100.9090909090909,10590.6297702789
79067,A,0,A-Group (Fast),308,119.1818181818181,5113.97002744675
21915,A,0,A-Group (Fast),308,1035.6363636363635,13058.7996165752
21506,A,0,A-Group (Fast),308,503.8181818181818,2272.13998168707
21892,A,0,A-Group (Fast),308,286.090909090909,4001.60995221138
82599,A,0,A-Group (Fast),308,159.090909090909,3705.71989631653
21259,A,0,A-Group (Fast),307,83.7272727272727,5534.04984092712
37449,A,0,A-Group (Fast),307,173.6666666666666,14869.5299272537
21844,A,0,A-Group (Fast),306,296.4545454545454,9354.80999422073
22072,A,0,A-Group (Fast),306,127.8181818181818,5784.83003330231
84832,A,0,A-Group (Fast),305,285.4545454545454,2793.61006855965
22456,A,0,A-Group (Fast),305,315.625,11179.5499391556
21186,A,0,A-Group (Fast),305,398.9090909090909,7109.74005329609
22570,A,0,A-Group (Fast),304,213.5,6632.53005838394
22645,A,0,A-Group (Fast),304,414.8333333333333,4056.00008964539
48129,A,0,A-Group (Fast),304,188.4545454545454,12495.129776001
22952,A,0,A-Group (Fast),304,4684.5,4803.58001995087
35400,A,0,A-Group (Fast),303,96.8181818181818,10165.4698228836
22569,A,0,A-Group (Fast),303,220.125,6607.06005239487
21508,B,0,A-Group (Fast),303,355.2727272727272,1629.8199826777
22079,A,0,A-Group (Fast),301,246.090909090909,4443.26997792721
21108,A,0,A-Group (Fast),300,216.2727272727272,6386.18987250328
22568,A,0,A-Group (Fast),300,177.875,5343.45003843308
21558,A,0,A-Group (Fast),299,160.3636363636363,4456.08989095688
22242,A,0,A-Group (Fast),298,332.7272727272727,5846.40001904964
48173C,A,0,A-Group (Fast),298,198.8181818181818,12789.7797875404
85049B,A,0,A-Group (Fast),298,179.4545454545454,2465.81999063492
84997A,A,0,A-Group (Fast),298,218.3636363636363,8988.9100921154
37370,A,0,A-Group (Fast),296,356.7272727272727,6055.81978702545
22300,A,0,A-Group (Fast),294,219.1818181818181,6005.73985099792
21899,A,0,A-Group (Fast),294,335.1818181818181,2360.82990968227
21911,A,0,A-Group (Fast),293,212.9090909090909,3718.87994623184
21989,A,0,A-Group (Fast),293,545.5454545454545,4381.38999319077
20682,A,0,A-Group (Fast),292,151.0,5390.65999627113
22245,A,0,A-Group (Fast),292,285.2727272727272,2731.90007090569
21507,B,0,A-Group (Fast),292,410.0,1870.55997872353
21258,A,0,A-Group (Fast),292,60.4545454545454,9640.41994380951
21136,A,0,A-Group (Fast),292,416.7272727272727,7657.3802523613
21544,A,0,A-Group (Fast),291,349.3636363636363,3142.29003632069
85042,A,0,A-Group (Fast),291,244.0,12229.6097993851
15060B,A,0,A-Group (Fast),289,74.6363636363636,4101.17004776001
22169,A,0,A-Group (Fast),289,86.9090909090909,8130.04002380371
21714,A,0,A-Group (Fast),288,235.1818181818181,3112.96997404099
22492,A,0,A-Group (Fast),288,2459.5,9450.65972721577
21519,B,0,A-Group (Fast),288,344.6363636363636,1648.12997716665
22667,A,0,A-Group (Fast),287,349.25,3962.75002884865
21561,A,0,A-Group (Fast),286,143.5454545454545,3898.57990169525
21381,A,0,A-Group (Fast),284,236.3636363636363,4402.16013026237
22909,A,0,A-Group (Fast),283,2634.5,4103.2600351572
22113,A,0,A-Group (Fast),282,155.9090909090909,6172.68007564545
21916,B,0,A-Group (Fast),281,401.7272727272727,1887.38996136189
21700,A,0,A-Group (Fast),281,378.1818181818181,4090.94010937214
85061W,A,0,A-Group (Fast),281,355.5454545454545,3350.4000467062
21407,A,0,A-Group (Fast),281,80.6363636363636,3955.21000862122
22489,A,0,A-Group (Fast),280,901.875,2955.84996446967
22303,A,0,A-Group (Fast),278,238.2727272727272,6358.2798306942
79000,A,0,A-Group (Fast),278,647.3636363636363,5834.79000651836
72351B,A,0,A-Group (Fast),277,298.1818181818181,6391.34992074966
21431,A,0,A-Group (Fast),277,134.6363636363636,2508.0599796772
21624,A,0,A-Group (Fast),277,135.3636363636363,8881.3698682785
22560,A,0,A-Group (Fast),276,708.25,6691.78987455368
22109,A,0,A-Group (Fast),276,128.5454545454545,5662.98006868362
22156,A,0,A-Group (Fast),275,313.090909090909,2978.55008125305
21934,A,0,A-Group (Fast),275,182.7272727272727,3426.17001497746
21874,A,0,A-Group (Fast),275,270.5454545454545,3562.47991323471
21590,A,0,A-Group (Fast),274,307.090909090909,4053.77994918823
22694,A,0,A-Group (Fast),274,459.0,3807.41986942291
22170,A,0,A-Group (Fast),274,104.9090909090909,7611.37991142273
21982,A,0,A-Group (Fast),274,2077.272727272727,7413.93996143341
21704,A,0,A-Group (Fast),274,865.1818181818181,7305.6702555418
22185,A,0,A-Group (Fast),273,201.090909090909,3637.62998712063
18098c,A,0,A-Group (Fast),271,98.9090909090909,3137.24001026154
22659,A,0,A-Group (Fast),271,391.25,5825.14003276825
84880,A,0,A-Group (Fast),270,116.5454545454545,7127.3197593689
21756,A,0,A-Group (Fast),270,91.7142857142857,3954.07988166809
20982,B,0,A-Group (Fast),270,203.1818181818181,1962.21005022526
22501,A,0,A-Group (Fast),269,139.5,8697.90988540649
22549,A,0,A-Group (Fast),269,320.125,3782.66009688377
48116,A,0,A-Group (Fast),269,167.4545454545454,10804.2998123169
22158,A,0,A-Group (Fast),268,264.3636363636363,8272.3400425911
85049A,A,0,A-Group (Fast),267,209.8181818181818,3022.63998436928
22023,B,0,A-Group (Fast),266,314.9090909090909,1414.27999195457
85175,A,0,A-Group (Fast),266,823.3636363636363,3817.45994397998
22665,A,0,A-Group (Fast),265,269.5,3305.70001792908
22276,A,0,A-Group (Fast),265,132.7272727272727,3684.82990932465
22644,A,0,A-Group (Fast),265,364.3333333333333,3324.58007788658
79323P,A,0,A-Group (Fast),264,227.7,13760.9297142029
47590A,A,0,A-Group (Fast),264,234.4545454545454,12719.3399915695
85049D,A,0,A-Group (Fast),264,151.5454545454545,2081.70999145508
22089,A,0,A-Group (Fast),264,179.4545454545454,5521.54001498222
84971S,A,0,A-Group (Fast),264,413.6363636363636,3788.60006928444
21243,A,0,A-Group (Fast),263,294.8181818181818,5247.87016320229
22431,A,0,A-Group (Fast),263,133.4444444444444,2552.55004501343
21890,A,0,A-Group (Fast),262,146.2727272727272,4755.94003653526
21770,A,0,A-Group (Fast),262,135.1,6873.46995735168
22620,A,0,A-Group (Fast),261,415.1666666666666,3187.92999005318
21500,A,0,A-Group (Fast),261,809.090909090909,3579.99991625547
22218,A,0,A-Group (Fast),261,111.5454545454545,5344.4100227356
21241,B,0,A-Group (Fast),260,201.1818181818181,1869.07005190849
21430,A,0,A-Group (Fast),260,113.8181818181818,4801.23004674912
84032A,A,0,A-Group (Fast),259,172.6363636363636,4016.75999927521
21623,A,0,A-Group (Fast),257,239.4444444444444,16841.3900136948
85065,A,0,A-Group (Fast),256,56.3636363636363,7524.43994998932
20970,A,0,A-Group (Fast),256,108.2727272727272,4453.4300339222
21071,A,0,A-Group (Fast),255,279.3636363636363,3341.62996864319
22059,A,0,A-Group (Fast),254,257.9090909090909,4076.8200070858
10002,A,0,A-Group (Fast),254,622.4545454545454,5427.18017435074
22357,A,0,A-Group (Fast),254,154.1,6854.72997093201
22621,A,0,A-Group (Fast),254,425.5,3692.51009583473
21577,A,0,A-Group (Fast),253,155.0,3734.38999915123
20966,A,0,A-Group (Fast),253,161.6363636363636,2514.21999120712
