order_date,invoice_no,stock_code,category,quantity,price
12/01/2009,489442,84251J,Others,12,0.42
12/01/2009,489442,22024,Others,12,0.42
12/01/2009,489442,22026,Others,12,0.42
12/01/2009,489442,22029,Others,12,0.42
12/01/2009,489442,22025,Others,12,0.42
12/01/2009,489442,22031,Others,12,0.42
12/01/2009,489442,21428,Others,4,4.25
12/01/2009,489442,21430,Others,4,3.75
12/01/2009,489442,21916,Others,24,0.42
12/01/2009,489442,21790,Others,12,0.85
12/01/2009,489442,21888,Others,8,3.75
12/01/2009,489442,85178,Others,12,1.25
12/01/2009,489443,20754,Others,6,2.1
12/01/2009,489443,21035,Others,12,2.95
12/01/2009,489443,22041,Others,48,2.1
12/01/2009,489443,82001S,Others,24,3.39
12/01/2009,489443,82580,Others,12,0.55
12/01/2009,489443,85150,Others,12,2.55
12/01/2009,489443,21041,Others,6,2.95
12/01/2009,489445,35916C,Others,12,0.85
12/01/2009,489445,35916B,Others,12,0.85
12/01/2009,489445,22321,Others,24,0.85
12/01/2009,489445,22130,Others,12,0.85
12/01/2009,489445,22180,Others,2,9.95
12/01/2009,489445,22128,Others,12,1.25
12/01/2009,489445,22163,Others,6,2.95
12/01/2009,489445,35951,Others,48,0.38
12/01/2009,489445,22253,Others,12,1.25
12/01/2009,489445,84988,Others,12,1.45
12/01/2009,489445,22219,Others,24,0.85
12/01/2009,489445,18097C,Others,6,2.55
12/01/2009,489445,22138,Others,3,4.95
12/01/2009,489445,21299,Others,1,12.75
12/01/2009,489445,21099,Others,24,0.65
12/01/2009,489445,21085,Others,24,0.65
12/01/2009,489445,21929,Others,10,1.95
12/01/2009,489445,22241,Others,24,1.25
12/01/2009,489445,21091,Others,12,0.85
12/01/2009,489446,21733,Others,32,2.55
12/01/2009,489446,85123A,Others,32,2.55
12/01/2009,489446,22178,Others,12,1.25
12/01/2009,489446,22125,Others,12,5.95
12/01/2009,489446,21671,Others,12,1.25
12/01/2009,489446,22086,Others,12,2.95
12/01/2009,489446,22111,Others,6,4.95
12/01/2009,489446,22112,Others,12,4.95
12/01/2009,489446,22294,Others,24,1.25
12/01/2009,489446,22199,Others,4,4.25
12/01/2009,489446,22083,Others,24,2.95
12/01/2009,489446,22114,Others,12,3.95
12/01/2009,489446,21485,Others,12,4.95
12/01/2009,489446,21928,Others,10,1.95
12/01/2009,489446,21929,Others,10,1.95
12/01/2009,489446,85099B,Others,20,1.95
12/01/2009,489446,22356,Others,10,0.85
12/01/2009,489446,20724,Others,10,0.85
12/01/2009,489446,21590,Others,24,1.25
12/01/2009,489446,21592,Others,24,1.25
12/01/2009,489446,20725,Others,10,1.65
12/01/2009,489446,20728,Others,10,1.65
12/01/2009,489446,20726,Others,10,1.65
12/01/2009,489446,20754,Others,12,2.1
12/01/2009,489446,21217,Others,12,8.95
12/01/2009,489446,22195,Others,12,1.65
12/01/2009,489446,85066,Others,2,12.75
12/01/2009,489448,20827,Others,48,2.12
12/01/2009,489448,20825,Others,48,3.39
12/01/2009,489448,20823,Others,48,4.25
12/01/2009,489448,20826,Others,48,2.12
12/01/2009,489450,22087,Others,12,2.95
12/01/2009,489450,85206A,Others,6,1.65
12/01/2009,489450,21895,Others,4,4.25
12/01/2009,489450,21896,Others,6,2.1
12/01/2009,489450,22083,Others,12,2.95
12/01/2009,489450,21871,Others,12,1.25
12/01/2009,489450,84946,Others,12,1.25
12/01/2009,489450,84970S,Others,24,0.85
12/01/2009,489450,22090,Others,12,2.95
12/01/2009,489460,79323P,Others,8,6.75
12/01/2009,489460,21977,Others,24,0.55
12/01/2009,489460,84991,Others,24,0.55
12/01/2009,489460,22274,Others,6,2.95
12/01/2009,489460,22273,Others,6,2.95
12/01/2009,489460,22179,Others,4,6.75
12/01/2009,489460,22320,Others,3,5.95
12/01/2009,489460,22232,Others,8,1.65
12/01/2009,489460,84598,Others,576,0.21
12/01/2009,489460,79323W,Others,8,6.75
12/01/2009,489460,22138,Others,3,4.95
12/01/2009,489460,22139,Others,3,4.95
12/01/2009,489460,79323S,Others,4,6.75
12/01/2009,489460,21731,Others,12,1.65
12/01/2009,489460,84568,Others,288,0.21
12/01/2009,489461,21668,Others,24,1.25
12/01/2009,489461,21669,Others,24,1.25
12/01/2009,489461,21670,Others,24,1.25
12/01/2009,489461,21671,Others,24,1.25
12/01/2009,489461,21672,Others,24,1.25
12/01/2009,489461,21673,Others,24,1.25
12/01/2009,489461,22125,Others,3,5.95
12/01/2009,489461,21232,Others,48,1.25
12/01/2009,489461,85071A,Others,6,2.95
12/01/2009,489461,85071B,Others,6,2.95
12/01/2009,489461,21161,Others,12,1.45
12/01/2009,489461,21162,Others,12,1.45
12/01/2009,489461,21248,Others,12,1.45
12/01/2009,489461,21159,Others,12,1.45
12/01/2009,489461,82582,Others,12,2.1
12/01/2009,489461,21181,Others,6,2.1
12/01/2009,489461,85150,Others,6,2.55
12/01/2009,489461,82494L,Others,6,2.95
12/01/2009,489461,82486,Others,2,7.95
12/01/2009,489461,82483,Others,3,5.95
12/01/2009,489462,90200D,Others,3,4.25
12/01/2009,489462,90200E,Others,3,4.25
12/01/2009,489461,21212,Others,24,0.55
12/01/2009,489461,84991,Others,24,0.55
12/01/2009,489461,22180,Others,2,9.95
12/01/2009,489461,72756,Others,27,1.49
12/01/2009,489461,22063,Others,6,2.95
12/01/2009,489461,37450,Others,6,2.95
12/01/2009,489462,90200A,Others,3,4.25
12/01/2009,489462,90200C,Others,3,4.25
12/01/2009,489462,90200B,Others,3,4.25
12/01/2009,489462,90185C,Others,3,4.25
12/01/2009,489462,90185B,Others,3,4.25
12/01/2009,489462,90003C,Others,3,3.75
12/01/2009,489462,90003D,Others,3,3.75
12/01/2009,489462,90003B,Others,3,3.75
12/01/2009,489462,90209C,Others,3,2.1
12/01/2009,489462,90209A,Others,3,2.1
12/01/2009,489462,90082D,Others,2,6.35
12/01/2009,489465,21707,Others,12,4.95
12/01/2009,489465,21710,Others,12,4.95
12/01/2009,489465,21708,Others,12,4.95
12/01/2009,489465,21706,Others,12,4.95
12/01/2009,489465,21711,Others,12,4.95
12/01/2009,489465,20747,Others,4,14.95
12/01/2009,489465,22125,Others,12,5.95
12/01/2009,489465,85123A,Others,64,2.55
12/01/2009,489465,21733,Others,20,2.95
12/01/2009,489465,20752,Others,8,2.1
12/01/2009,489465,20753,Others,8,2.1
12/01/2009,489465,20754,Others,8,2.1
12/01/2009,489465,20751,Others,12,2.1
12/01/2009,489465,48185,Others,4,6.75
12/01/2009,489465,22114,Others,12,3.95
12/01/2009,489465,21481,Others,8,2.95
12/01/2009,489465,85042,Others,24,4.25
12/01/2009,489465,72760B,Others,4,9.95
12/01/2009,489465,84879,Others,160,1.45
12/01/2009,489488,84031B,Others,1,4.65
12/01/2009,489488,84032A,Others,1,2.95
12/01/2009,489488,84032B,Others,1,2.95
12/01/2009,489488,22125,Others,2,5.95
12/01/2009,489488,21482,Others,2,2.95
12/01/2009,489488,21484,Others,3,3.45
12/01/2009,489488,20967,Others,1,3.75
12/01/2009,489488,20970,Others,2,3.75
12/01/2009,489488,21100,Others,2,1.65
12/01/2009,489488,84582,Others,2,4.25
12/01/2009,489488,20972,Others,3,1.25
12/01/2009,489488,20971,Others,1,1.25
12/01/2009,489488,84327A,Others,2,2.1
12/01/2009,489488,22125,Others,1,5.95
12/01/2009,489488,21490,Others,3,1.95
12/01/2009,489488,21063,Others,4,0.85
12/01/2009,489488,21058,Others,3,0.85
12/01/2009,489488,22086,Others,5,2.95
12/01/2009,489488,84997D,Others,4,3.75
12/01/2009,489488,84997C,Others,4,3.75
12/01/2009,489488,22301,Others,2,2.55
12/01/2009,489488,22300,Others,3,2.55
12/01/2009,489488,21493,Others,6,0.85
12/01/2009,489488,21231,Others,4,1.25
12/01/2009,489488,20870,Others,6,2.1
12/01/2009,489488,90121B,Others,4,4.25
12/01/2009,489488,90175A,Others,2,8.95
12/01/2009,489488,90195B,Others,2,8.95
12/01/2009,489488,90062,Others,2,12.75
12/01/2009,489488,21930,Others,2,1.95
12/01/2009,489505,21472,Others,6,3.75
12/01/2009,489505,85099B,Others,10,1.95
12/01/2009,489505,48185,Others,10,5.95
12/01/2009,489505,47566B,Others,5,4.65
12/01/2009,489505,21929,Others,10,1.95
12/01/2009,489505,22139,Others,6,4.95
12/01/2009,489505,22086,Others,6,2.95
12/01/2009,489505,22275,Others,4,8.5
12/01/2009,489505,22138,Others,3,4.95
12/01/2009,489505,21479,Others,4,3.75
12/01/2009,489514,21791,Others,72,1.06
12/01/2009,489514,84032A,Others,36,2.55
12/01/2009,489514,85042,Others,24,4.25
12/01/2009,489514,71477,Others,24,2.75
12/01/2009,489514,37449,Others,8,8.5
12/01/2009,489514,37446,Others,32,1.25
12/01/2009,489514,21955,Others,10,5.95
12/01/2009,489514,21258,Others,8,10.95
12/01/2009,489514,20892,Others,8,3.95
12/01/2009,489514,47591D,Others,50,1.65
12/01/2009,489514,21867,Others,1,1.25
12/01/2009,489514,21041,Others,5,2.95
12/01/2009,489514,82551,Others,2,1.25
12/01/2009,489514,82567,Others,1,2.1
12/01/2009,489514,21161,Others,3,1.45
12/01/2009,489514,82613D,Others,2,1.25
12/01/2009,489514,21179,Others,2,1.25
12/01/2009,489514,21865,Others,3,2.1
12/01/2009,489514,72783,Others,2,2.1
12/01/2009,489514,20719,Others,3,0.85
12/01/2009,489514,21869,Others,2,1.25
12/01/2009,489514,21876,Others,2,1.25
12/01/2009,489514,20754,Others,3,2.1
12/01/2009,489514,84849B,Others,2,1.69
12/01/2009,489514,21864,Others,5,2.1
12/01/2009,489514,21470,Others,2,3.75
12/01/2009,489514,20897,Others,2,2.95
12/01/2009,489514,44230,Others,1,7.95
12/01/2009,489514,37485,Others,2,4.65
12/01/2009,489514,84997A,Others,3,3.75
12/01/2009,489514,21245,Others,3,1.69
12/01/2009,489514,21241,Others,3,0.85
12/01/2009,489517,21705,Others,1,1.65
12/01/2009,489517,21913,Others,1,3.75
12/01/2009,489517,21912,Others,1,3.75
12/01/2009,489517,16207A,Others,2,2.95
12/01/2009,489517,21821,Others,1,3.75
12/01/2009,489517,85123A,Others,1,2.95
12/01/2009,489517,22319,Others,12,0.65
12/01/2009,489517,22130,Others,6,0.85
12/01/2009,489517,21584,Others,20,1.65
12/01/2009,489517,20972,Others,1,1.25
12/01/2009,489517,21791,Others,6,1.25
12/01/2009,489517,21790,Others,4,0.85
12/01/2009,489517,21931,Others,1,1.95
12/01/2009,489517,20711,Others,1,1.95
12/01/2009,489517,47591A,Others,1,1.65
12/01/2009,489517,84997B,Others,12,3.75
12/01/2009,489517,84997A,Others,12,3.75
12/01/2009,489517,21491,Others,1,1.95
12/01/2009,489517,22122,Others,12,2.95
12/01/2009,489517,20971,Others,1,1.25
12/01/2009,489517,21252,Others,1,2.95
12/01/2009,489517,21837,Others,2,5.95
12/01/2009,489517,84951A,Others,1,2.55
12/01/2009,489517,22335,Others,1,0.65
12/01/2009,489517,21791,Others,1,1.25
12/01/2009,489517,21790,Others,1,0.85
12/01/2009,489517,85129A,Others,1,1.25
12/01/2009,489517,84791,Others,1,2.95
12/01/2009,489517,21244,Others,4,1.69
12/01/2009,489517,20675,Others,4,1.25
12/01/2009,489519,22086,Others,12,2.95
12/01/2009,489519,85123A,Others,32,2.55
12/01/2009,489519,82616B,Others,6,2.95
12/01/2009,489519,22276,Others,6,2.55
12/01/2009,489519,84912B,Others,4,3.75
12/01/2009,489519,85014C,Others,3,5.95
12/01/2009,489519,85014A,Others,3,5.95
12/01/2009,489519,85014B,Others,3,5.95
12/01/2009,489519,85014D,Others,3,5.95
12/01/2009,489519,21326,Others,12,0.65
12/01/2009,489519,84946,Others,12,1.25
12/01/2009,489519,84949,Others,6,1.65
12/01/2009,489519,21491,Others,6,1.95
12/01/2009,489519,21908,Others,6,2.1
12/01/2009,489519,21181,Others,6,2.1
12/01/2009,489519,82483,Others,3,5.95
12/01/2009,489519,79323S,Others,4,6.75
12/01/2009,489519,21371,Others,6,2.55
12/01/2009,489519,85152,Others,6,2.1
12/01/2009,489519,21133,Others,12,1.69
12/01/2009,489519,20984,Others,12,0.85
12/01/2009,489519,20982,Others,12,0.85
12/01/2009,489519,84971L,Others,12,1.25
12/01/2009,489519,21912,Others,8,3.75
12/01/2009,489519,90168,Others,6,2.95
12/01/2009,489519,84884A,Others,5,3.95
12/01/2009,489519,79323W,Others,4,6.75
12/01/2009,489519,90013C,Others,4,3.75
12/01/2009,489519,90023,Others,2,4.25
12/01/2009,489519,90067A,Others,6,2.95
12/01/2009,489519,90067B,Others,6,2.95
12/01/2009,489519,90145,Others,2,5.95
12/01/2009,489519,90000A,Others,2,5.95
12/01/2009,489519,90024B,Others,2,8.5
12/01/2009,489519,90036D,Others,3,7.95
12/01/2009,489519,90134,Others,6,2.95
12/01/2009,489519,90131,Others,2,6.95
12/01/2009,489519,90199C,Others,2,6.35
12/01/2009,489520,35751C,Others,12,0.75
12/01/2009,489520,72739B,Others,12,1.25
12/01/2009,489520,22114,Others,8,3.95
12/01/2009,489520,22212,Others,6,2.1
12/01/2009,489520,21523,Others,2,6.75
12/01/2009,489520,48187,Others,2,6.75
12/01/2009,489520,48195,Others,2,6.75
12/01/2009,489520,72741,Others,36,1.45
12/01/2009,489520,85232D,Others,3,4.95
12/01/2009,489520,20828,Others,6,2.55
12/01/2009,489520,22080,Others,10,1.65
12/01/2009,489520,22082,Others,10,1.65
12/01/2009,489520,21754,Others,6,5.95
12/01/2009,489520,21784,Others,4,9.95
12/01/2009,489520,21172,Others,12,1.45
12/01/2009,489520,21181,Others,6,2.1
12/01/2009,489520,82600,Others,12,2.1
12/01/2009,489520,22282,Others,4,12.75
12/01/2009,489520,21842,Others,54,2.55
12/01/2009,489520,22089,Others,6,2.95
12/01/2009,489520,21430,Others,4,3.75
12/01/2009,489520,20734,Others,10,0.85
12/01/2009,489520,21133,Others,12,1.69
12/01/2009,489520,35071,Others,12,0.85
12/01/2009,489520,22083,Others,6,2.95
12/01/2009,489520,22086,Others,6,2.95
12/01/2009,489520,22121,Others,3,5.95
12/01/2009,489520,21485,Others,3,4.95
12/01/2009,489520,84836,Others,12,1.25
12/01/2009,489520,22122,Others,12,2.95
12/01/2009,489522,21916,Others,3,0.42
12/01/2009,489522,72760B,Others,1,9.95
12/01/2009,489522,37492A,Others,1,4.65
12/01/2009,489522,21479,Others,2,3.75
12/01/2009,489522,10133,Others,6,0.85
12/01/2009,489522,22113,Others,4,3.45
12/01/2009,489522,20782,Others,1,5.49
12/01/2009,489522,22190,Others,1,2.1
12/01/2009,489522,22111,Others,2,4.95
12/01/2009,489522,84029G,Others,1,3.75
12/01/2009,489522,22114,Others,1,3.95
12/01/2009,489522,21489,Others,1,3.95
12/01/2009,489522,20987,Others,6,1.95
12/01/2009,489522,20989,Others,2,1.95
12/01/2009,489522,21868,Others,1,1.25
12/01/2009,489522,21875,Others,1,1.25
12/01/2009,489522,21869,Others,1,1.25
12/01/2009,489522,21826,Others,3,1.25
12/01/2009,489522,21827,Others,3,1.25
12/01/2009,489522,21828,Others,3,1.25
12/01/2009,489522,16225,Others,4,1.25
12/01/2009,489522,21829,Others,36,0.21
12/01/2009,489522,21582,Others,2,1.65
12/01/2009,489522,21584,Others,2,1.65
12/01/2009,489522,21638,Others,6,2.1
12/01/2009,489522,35400,Others,2,8.95
12/01/2009,489522,22218,Others,1,4.25
12/01/2009,489522,22222,Others,1,4.95
12/01/2009,489522,22300,Others,3,2.55
12/01/2009,489522,22301,Others,3,2.55
12/01/2009,489522,22305,Others,3,2.55
12/01/2009,489522,22304,Others,3,2.55
12/01/2009,489522,22302,Others,3,2.55
12/01/2009,489522,22303,Others,3,2.55
12/01/2009,489522,22127,Others,6,1.25
12/01/2009,489522,22130,Others,24,0.85
12/01/2009,489522,21143,Others,7,1.95
12/01/2009,489522,21639,Others,10,0.85
12/01/2009,489522,22154,Others,6,0.42
12/01/2009,489522,22155,Others,6,0.42
12/01/2009,489522,22294,Others,6,1.25
12/01/2009,489522,21133,Others,6,1.69
12/01/2009,489522,21889,Others,2,1.25
12/01/2009,489522,85045,Others,2,4.95
12/01/2009,489522,85044,Others,2,4.95
12/01/2009,489522,21888,Others,3,3.75
12/01/2009,489522,21587,Others,6,2.55
12/01/2009,489522,21588,Others,2,2.55
12/01/2009,489522,21586,Others,4,2.55
12/01/2009,489522,21818,Others,6,0.85
12/01/2009,489522,21819,Others,6,0.85
12/01/2009,489522,21817,Others,6,0.85
12/01/2009,489522,48111,Others,1,6.75
12/01/2009,489522,20685,Others,1,6.75
12/01/2009,489522,48194,Others,1,6.75
12/01/2009,489522,21495,Others,25,0.42
12/01/2009,489522,47505,Others,2,4.95
12/01/2009,489522,10135,Others,6,1.25
12/01/2009,489522,22125,Others,4,5.95
12/01/2009,489522,37492C,Others,1,4.65
12/01/2009,489522,20677,Others,1,1.25
12/01/2009,489522,20676,Others,1,1.25
12/01/2009,489522,20675,Others,1,1.25
12/01/2009,489522,21086,Others,8,0.65
12/01/2009,489522,21948,Others,6,1.25
12/01/2009,489522,21833,Others,12,1.69
12/01/2009,489522,21832,Others,5,1.65
12/01/2009,489522,22315,Others,1,1.25
12/01/2009,489522,21870,Others,1,1.25
12/01/2009,489522,82600,Others,1,2.1
12/01/2009,489522,21181,Others,2,2.1
12/01/2009,489522,22115,Others,1,2.95
12/01/2009,489522,21166,Others,2,1.95
12/01/2009,489522,21175,Others,2,2.1
12/01/2009,489522,21174,Others,1,1.95
12/01/2009,489522,21908,Others,3,2.1
12/01/2009,489522,82582,Others,1,2.1
12/01/2009,489522,85152,Others,2,2.1
12/01/2009,489522,85150,Others,1,2.55
12/01/2009,489522,22197,Others,10,0.85
12/01/2009,489522,21094,Others,4,0.85
12/01/2009,489522,72724,Others,7,1.25
12/01/2009,489522,22103,Others,6,1.65
12/01/2009,489522,37424,Others,6,0.85
12/01/2009,489522,21136,Others,8,1.69
12/01/2009,489522,21755,Others,1,5.95
12/01/2009,489522,84879,Others,8,1.69
12/01/2009,489522,84997B,Others,1,3.75
12/01/2009,489522,84997D,Others,1,3.75
12/01/2009,489522,84997C,Others,1,3.75
12/01/2009,489522,21238,Others,4,0.85
12/01/2009,489522,21240,Others,4,0.85
12/01/2009,489522,21239,Others,4,0.85
12/01/2009,489522,84007,Others,4,2.55
12/01/2009,489522,84012,Others,4,2.55
12/01/2009,489522,22077,Others,1,1.65
12/01/2009,489522,85049A,Others,2,1.25
12/01/2009,489522,85049E,Others,2,1.25
12/01/2009,489522,22075,Others,2,1.65
12/01/2009,489522,22076,Others,1,1.65
12/01/2009,489522,79323W,Others,1,6.75
12/01/2009,489522,79323LP,Others,1,6.75
12/01/2009,489522,79342B,Others,1,6.75
12/01/2009,489522,79341,Others,6,6.75
12/01/2009,489523,84879,Others,800,1.45
12/01/2009,489525,85226C,Others,1,0.55
12/01/2009,489525,85227,Others,1,0.85
12/01/2009,489526,85049E,Others,12,1.25
12/01/2009,489526,21976,Others,24,0.55
12/01/2009,489526,21498,Others,25,0.42
12/01/2009,489526,22077,Others,12,1.65
12/01/2009,489526,84946,Others,12,1.25
12/01/2009,489526,84948,Others,24,1.65
12/01/2009,489526,21537,Others,4,4.25
12/01/2009,489526,21733,Others,6,2.95
12/01/2009,489526,85123A,Others,6,2.95
12/01/2009,489526,20718,Others,10,1.25
12/01/2009,489526,21539,Others,3,4.95
12/01/2009,489526,16169F,Others,25,0.42
12/01/2009,489526,84836,Others,24,1.25
12/01/2009,489526,21527,Others,2,7.95
12/01/2009,489526,21533,Others,6,4.95
12/01/2009,489526,21531,Others,6,2.55
12/01/2009,489526,22180,Others,3,9.95
12/01/2009,489526,22333,Others,8,1.65
12/01/2009,489526,22319,Others,24,0.65
12/01/2009,489526,85232B,Others,9,4.95
12/01/2009,489526,20676,Others,8,1.25
12/01/2009,489526,20914,Others,12,2.95
12/01/2009,489526,21217,Others,3,9.95
12/01/2009,489526,21238,Others,16,0.85
12/01/2009,489526,21242,Others,8,1.69
12/01/2009,489526,22232,Others,8,1.65
12/01/2009,489526,21535,Others,6,2.55
12/01/2009,489526,21844,Others,6,2.95
12/01/2009,489526,22073,Others,4,3.75
12/01/2009,489526,22072,Others,4,3.75
12/01/2009,489526,22321,Others,24,0.85
12/01/2009,489526,15056BL,Others,6,5.95
12/01/2009,489526,15056N,Others,6,5.95
12/01/2009,489526,21731,Others,12,1.65
12/01/2009,489526,22254,Others,12,1.25
12/01/2009,489526,22255,Others,12,0.85
12/01/2009,489526,46000S,Others,2,1.45
12/01/2009,489526,20964,Others,3,2.55
12/01/2009,489526,21788,Others,24,0.85
12/01/2009,489526,21789,Others,24,0.85
12/01/2009,489526,20682,Others,6,3.25
12/01/2009,489526,85014C,Others,3,5.95
12/01/2009,489526,84832,Others,24,0.85
12/01/2009,489529,85063,Others,1,16.95
12/01/2009,489529,48129,Others,1,6.75
12/01/2009,489529,21491,Others,1,1.95
12/01/2009,489529,22030,Others,1,0.42
12/01/2009,489529,21081,Others,1,0.85
12/01/2009,489529,20773,Others,1,1.65
12/01/2009,489529,20767,Others,1,2.55
12/01/2009,489529,22028,Others,12,0.42
12/01/2009,489529,20622,Others,1,2.1
12/01/2009,489529,21122,Others,1,1.25
12/01/2009,489529,21124,Others,1,1.25
12/01/2009,489529,20657,Others,1,1.25
12/01/2009,489529,16156N,Others,25,0.42
12/01/2009,489529,20673,Others,4,1.25
12/01/2009,489529,22300,Others,6,2.55
12/01/2009,489529,84520B,Others,1,0.85
12/01/2009,489529,22086,Others,1,2.95
12/01/2009,489529,20619,Others,1,2.1
12/01/2009,489529,21864,Others,1,2.1
12/01/2009,489529,21866,Others,1,1.25
12/01/2009,489529,20660,Others,1,1.25
12/01/2009,489529,21489,Others,1,3.95
12/01/2009,489529,16207A,Others,1,2.95
12/01/2009,489529,20777,Others,1,1.65
12/01/2009,489529,20774,Others,2,1.65
12/01/2009,489529,22029,Others,12,0.42
12/01/2009,489529,22030,Others,12,0.42
12/01/2009,489529,22024,Others,12,0.42
12/01/2009,489529,22037,Others,12,0.42
12/01/2009,489529,22036,Others,12,0.42
12/01/2009,489529,21833,Others,2,1.69
12/01/2009,489529,21726,Others,3,0.85
12/01/2009,489529,21544,Others,2,0.85
12/01/2009,489529,21004,Others,1,4.25
12/01/2009,489529,20984,Others,1,0.85
12/01/2009,489529,20982,Others,2,0.85
12/01/2009,489529,84402D,Others,1,2.95
12/01/2009,489529,84660B,Others,1,3.75
12/01/2009,489529,21429,Others,4,1.65
12/01/2009,489529,72754B,Others,1,1.69
12/01/2009,489529,21500,Others,25,0.42
12/01/2009,489529,21431,Others,4,1.65
12/01/2009,489529,21912,Others,2,3.75
12/01/2009,489529,22086,Others,3,2.95
12/01/2009,489529,20748,Others,1,12.75
12/01/2009,489529,21490,Others,2,1.95
12/01/2009,489529,72802B,Others,3,4.25
12/01/2009,489531,79029,Others,1,1.95
12/01/2009,489531,71477,Others,12,3.25
12/01/2009,489531,85042,Others,4,4.95
12/01/2009,489531,85123A,Others,5,2.95
