SKU,Predicted_Demand,Velocity_Rank
20728,489.89,234.0
21871,486.51,235.0
35598D,485.87,236.0
22314,485.62,237.0
22374,484.67,238.0
20973,483.2,239.0
21703,482.96000000000004,240.0
21351,482.1,241.0
22418,478.87,242.0
22733,478.67,243.0
84380,477.83,244.0
84032B,477.16,245.0
22356,476.97,246.0
22693,476.8,247.0
15056N,475.51,248.0
22603,474.77,249.0
21916,474.21,250.0
72807C,474.02,251.0
84030E,473.71,252.0
85131A,473.38,253.0
22569,473.26,254.0
22617,471.65999999999997,255.0
22940,468.09,256.0
22637,465.61,257.0
22381,464.33,258.0
22739,463.62,259.0
22704,457.32,260.0
22573,457.23,261.0
21591,452.99,262.0
22530,451.76,263.0
22579,450.96,264.0
22113,450.83,265.0
22795,450.52,266.0
22312,449.25,267.0
21930,448.63,268.0
22766,448.35,269.0
21801,445.58,270.0
22745,445.45,271.0
21169,444.6,272.0
22027,443.81,273.0
84568,442.26,274.0
84378,441.07,275.0
21975,437.65,276.0
85032D,436.95,277.0
21908,436.72,278.0
22544,435.65,279.0
22661,432.36,280.0
20979,431.83,281.0
84755,431.33,282.0
21808,429.03,283.0
85150,428.63,284.0
22748,427.33,285.0
22810,426.76,286.0
85049E,425.21000000000004,287.0
21802,425.05,288.0
22382,424.16,289.0
17084N,423.86,290.0
21803,423.74,291.0
22219,421.03000000000003,292.0
22581,419.97,293.0
22784,419.29,294.0
21527,418.11,295.0
22600,417.97,296.0
22151,416.84000000000003,297.0
85175,415.72,298.0
21829,414.83,299.0
21833,411.29,300.0
35400,410.07,301.0
22505,409.2,302.0
22082,409.09,303.0
22892,407.71,304.0
22030,407.11,305.0
22662,405.25,306.0
22752,403.73,307.0
21495,402.76,308.0
79000,401.91999999999996,309.0
21877,401.45,310.0
22792,400.45,311.0
22563,400.3,312.0
22296,400.05,313.0
22375,400.03,314.0
48138,399.66,315.0
22644,398.94,316.0
22367,398.9,317.0
21587,398.48,318.0
22507,397.71,319.0
22568,396.39,320.0
22087,395.23,321.0
22243,395.01,322.0
84987,393.31,323.0
22570,392.45,324.0
22798,392.45,325.0
22941,390.92,326.0
20750,390.62,327.0
22348,386.52,328.0
22273,386.32,329.0
22090,385.78,330.0
21497,385.15,331.0
21830,381.96,332.0
22737,381.58,333.0
22580,381.55,334.0
21584,381.26,335.0
20685,378.84,336.0
22631,378.84,337.0
21506,377.73,338.0
21191,377.64,339.0
10002,376.97,340.0
20871,376.40000000000003,341.0
22297,376.37,342.0
22771,373.63,343.0
21500,373.09999999999997,344.0
22196,372.72,345.0
20983,372.48,346.0
22750,372.12,347.0
22749,372.09,348.0
22489,372.07,349.0
22064,370.62,350.0
22757,368.81,351.0
20749,368.69,352.0
22716,368.31,353.0
22599,368.18,354.0
22851,364.98,355.0
22576,363.04,356.0
21559,361.86,357.0
21892,361.45,358.0
22698,358.90999999999997,359.0
22753,358.36,360.0
21668,358.27,361.0
22741,357.67,362.0
22736,357.5,363.0
20676,356.73,364.0
21154,355.29,365.0
21035,354.98,366.0
22946,353.14,367.0
22846,350.68,368.0
22714,349.48,369.0
21531,348.55,370.0
21259,348.5,371.0
22728,347.25,372.0
22155,346.98,373.0
72800E,346.88,374.0
21509,343.62,375.0
20963,343.51,376.0
21034,343.26,377.0
20828,341.18,378.0
22969,340.39,379.0
20679,339.49,380.0
84032A,338.71999999999997,381.0
22634,336.92,382.0
84997B,336.46,383.0
84880,335.93,384.0
21641,334.85,385.0
22809,333.22,386.0
20961,333.0,387.0
21192,331.97,388.0
22295,331.08,389.0
22968,331.04,390.0
22746,330.1,391.0
22813,329.91,392.0
22150,329.81,393.0
22195,329.2,394.0
48184,329.07,395.0
22183,329.0,396.0
21754,328.68,397.0
84754,328.47,398.0
22899,328.11,399.0
22567,327.54,400.0
22142,327.42,401.0
22730,326.62,402.0
72351B,325.57,403.0
21533,325.09,404.0
22732,324.95,405.0
22384,323.06,406.0
82580,322.98,407.0
22154,321.98,408.0
48194,321.9,409.0
22768,321.87,410.0
22619,319.67,411.0
21108,319.62,412.0
20966,319.54,413.0
22623,316.79,414.0
22900,316.22,415.0
20978,313.42,416.0
22376,313.31,417.0
22907,310.69,418.0
22663,309.97,419.0
35961,309.96,420.0
22758,309.62,421.0
22588,308.61,422.0
22584,307.97,423.0
21648,307.41,424.0
22651,306.94,425.0
22719,304.78000000000003,426.0
22983,304.67,427.0
16161P,304.28000000000003,428.0
84997D,303.35,429.0
84341B,302.83,430.0
22531,302.32,431.0
22729,301.37,432.0
21137,299.23,433.0
21507,298.78000000000003,434.0
22173,297.88,435.0
21172,297.71999999999997,436.0
21623,297.01,437.0
20677,296.46999999999997,438.0
20982,295.34000000000003,439.0
85199L,295.17,440.0
21143,295.07,441.0
16156S,293.95,442.0
22466,293.7,443.0
85038,292.73,444.0
21523,292.51,445.0
85014B,290.1,446.0
21967,289.9,447.0
48187,289.57,448.0
22537,289.44,449.0
72351A,287.97999999999996,450.0
82582,287.27,451.0
21328,287.12,452.0
22614,286.95,453.0
22938,286.77,454.0
84997C,285.98,455.0
35964,285.3,456.0
21985,284.84,457.0
22890,283.88,458.0
21122,283.71,459.0
21700,282.7,460.0
20754,282.4,461.0
21868,282.25,462.0
22041,281.9,463.0
22244,278.89,464.0
72816,278.34,465.0
22065,277.64,466.0
22942,276.61,467.0
22587,276.05,468.0
47567B,275.94,469.0
20956,275.56,470.0
22162,274.18,471.0
22731,273.85,472.0
37450,273.73,473.0
21385,273.62,474.0
21558,273.59,475.0
21430,272.86,476.0
22502,272.86,477.0
82599,272.66,478.0
21508,272.41,479.0
21786,271.71,480.0
22501,271.58,481.0
21592,271.21,482.0
47559B,270.19,483.0
21588,270.13,484.0
22028,269.74,485.0
22539,268.71999999999997,486.0
21891,268.42,487.0
22807,264.02,488.0
22747,263.46,489.0
85199S,263.4,490.0
22565,263.38,491.0
22156,263.21999999999997,492.0
22725,262.6,493.0
85018D,262.59,494.0
37449,262.48,495.0
21068,262.26,496.0
21658,262.21,497.0
22186,261.95,498.0
22078,261.9,499.0
21218,261.72,500.0
22372,261.06,501.0
21114,260.61,502.0
90214J,260.12,503.0
21217,259.13,504.0
22772,258.2,505.0
21164,257.83,506.0
35599D,256.42,507.0
22335,255.25,508.0
21187,254.29,509.0
22635,254.17,510.0
22840,253.68,511.0
22845,253.5,512.0
21124,252.87,513.0
22153,250.97,514.0
22653,250.24,515.0
21900,249.65,516.0
21071,248.92000000000002,517.0
22592,248.43,518.0
85066,248.37,519.0
21535,248.35,520.0
22781,248.03,521.0
21743,246.3,522.0
22751,246.13,523.0
21670,246.10999999999999,524.0
85064,245.69,525.0
47566B,245.48,526.0
84352,243.66,527.0
84997A,243.62,528.0
21755,243.49,529.0
22188,242.97,530.0
22898,242.92,531.0
10135,242.54000000000002,532.0
22493,242.36,533.0
22696,242.34,534.0
85118,241.79000000000002,535.0
22669,241.53,536.0
84375,238.52,537.0
85227,237.64,538.0
21544,237.29999999999998,539.0
21671,237.21,540.0
22548,237.2,541.0
22079,236.79,542.0
22582,236.25,543.0
22966,236.22,544.0
84536A,235.76,545.0
21981,235.53,546.0
22862,234.68,547.0
22670,233.91,548.0
71053,232.64,549.0
37424,232.31,550.0
22649,232.18,551.0
22895,231.81,552.0
22540,231.79000000000002,553.0
22421,231.42000000000002,554.0
21329,231.05,555.0
20829,230.35,556.0
21874,229.67000000000002,557.0
22598,229.26,558.0
21888,229.25,559.0
22838,228.83,560.0
21673,228.70000000000002,561.0
37340,227.8,562.0
22274,227.18,563.0
22589,226.72,564.0
85232B,224.76000000000002,565.0
21669,224.51,566.0
21899,223.0,567.0
20675,222.39,568.0
21807,222.32999999999998,569.0
21818,222.10999999999999,570.0
21313,222.01,571.0
22465,221.83,572.0
20941,221.45,573.0
21463,221.05,574.0
21352,220.89,575.0
22161,220.44,576.0
21918,220.06,577.0
22690,219.48,578.0
85231B,219.31,579.0
22800,218.87,580.0
21239,218.48999999999998,581.0
21986,216.57,582.0
21832,216.52,583.0
20977,216.02,584.0
21107,215.82,585.0
21902,215.65,586.0
22817,215.47,587.0
72807A,215.4,588.0
20969,215.1,589.0
21524,214.83,590.0
20992,214.72,591.0
21327,214.45,592.0
21672,214.07,593.0
22487,213.03,594.0
22956,212.4,595.0
21984,212.12,596.0
22713,211.79,597.0
85178,211.49,598.0
22566,211.39,599.0
16161U,210.72,600.0
48185,210.52,601.0
22352,210.34,602.0
82613D,210.09,603.0
20682,209.63,604.0
22984,209.33,605.0
11001,208.63,606.0
22109,208.43,607.0
85014A,208.05,608.0
22639,208.0,609.0
22075,207.22,610.0
90214A,207.13,611.0
22242,207.12,612.0
85049G,206.63,613.0
22562,206.4,614.0
22380,206.06,615.0
84988,205.76,616.0
22743,205.6,617.0
21843,205.27,618.0
21340,205.2,619.0
21238,204.99,620.0
21041,204.97,621.0
15056P,204.68,622.0
22508,204.28,623.0
21380,204.22,624.0
47590A,204.22,625.0
21428,201.53,626.0
21407,201.09,627.0
51014C,201.05,628.0
21844,200.34,629.0
22207,199.27,630.0
22624,198.35999999999999,631.0
22986,198.25,632.0
47367B,197.83,633.0
22533,197.71,634.0
22706,197.64000000000001,635.0
84971S,196.68,636.0
90214E,196.56,637.0
85039A,196.5,638.0
20981,195.21,639.0
21901,195.06,640.0
22084,194.48,641.0
22625,194.37,642.0
21349,194.03,643.0
22801,194.02,644.0
21216,193.74,645.0
90214S,192.88,646.0
22779,192.67000000000002,647.0
22059,192.12,648.0
22893,191.9,649.0
22152,191.69,650.0
85039B,191.5,651.0
22744,191.37,652.0
22157,190.95,653.0
22042,190.78,654.0
22735,190.29,655.0
22187,190.27,656.0
15060B,190.25,657.0
22037,189.76,658.0
90214C,189.69,659.0
22650,189.68,660.0
84006,189.65,661.0
22049,189.1,662.0
21240,188.92,663.0
22780,188.85,664.0
22535,188.18,665.0
22911,188.07,666.0
20970,188.02,667.0
21730,187.72,668.0
21912,187.63,669.0
75049L,187.42,670.0
22165,187.02,671.0
21907,186.93,672.0
21155,186.82,673.0
21135,186.47,674.0
22767,186.35,675.0
22451,185.98,676.0
22121,184.72,677.0
21390,184.6,678.0
21381,184.56,679.0
84536B,184.45,680.0
22955,184.24,681.0
79164,183.76,682.0
72818,182.96,683.0
20717,182.81,684.0
21642,182.67,685.0
85174,182.55,686.0
20986,182.41,687.0
22692,182.39,688.0
21705,182.32,689.0
21069,181.63,690.0
22483,181.35,691.0
48111,181.19,692.0
85132A,180.89,693.0
21001,180.85999999999999,694.0
22775,180.51999999999998,695.0
22695,180.10999999999999,696.0
37446,179.73000000000002,697.0
22301,179.57,698.0
22313,179.49,699.0
22618,179.22,700.0
22636,178.98,701.0
35954,178.82,702.0
22854,178.79,703.0
21260,177.72,704.0
22045,177.43,705.0
22422,177.02,706.0
22586,176.73,707.0
22774,176.62,708.0
21042,176.2,709.0
21777,176.02,710.0
22688,175.84,711.0
22668,175.77,712.0
22460,175.63,713.0
35599B,175.60000000000002,714.0
21147,175.04,715.0
72799F,174.72,716.0
22708,174.68,717.0
22842,174.46,718.0
22532,174.23,719.0
22841,174.14000000000001,720.0
70007,173.85,721.0
20751,173.69,722.0
21621,173.61,723.0
21809,172.68,724.0
22664,172.64000000000001,725.0
90214H,172.57999999999998,726.0
21643,170.69,727.0
20681,170.52,728.0
85226A,170.36,729.0
20665,170.28,730.0
22336,169.04,731.0
22306,169.01,732.0
47599A,168.48,733.0
22705,168.34,734.0
85068,168.04999999999998,735.0
22399,167.66,736.0
22815,167.34,737.0
22212,166.91,738.0
20733,166.43,739.0
22863,166.06,740.0
22488,165.83,741.0
22848,165.76,742.0
48188,165.46,743.0
22908,165.27,744.0
17084P,164.82,745.0
22024,164.47,746.0
22897,162.99,747.0
79067,162.94,748.0
21787,162.89,749.0
20967,162.29,750.0
22717,161.31,751.0
21890,161.17,752.0
72807B,161.11,753.0
21876,159.82,754.0
21562,159.52,755.0
21556,159.18,756.0
22849,159.12,757.0
22170,158.95,758.0
40016,158.38,759.0
21452,158.3,760.0
17091J,158.14,761.0
22789,158.06,762.0
82613B,157.5,763.0
22454,157.37,764.0
21679,157.31,765.0
22844,156.97,766.0
85049C,156.77,767.0
20878,156.63,768.0
16238,156.59,769.0
22711,156.41,770.0
82578,155.64,771.0
22819,155.41,772.0
21411,155.0,773.0
21486,154.96,774.0
22413,154.95,775.0
85170A,154.79999999999998,776.0
16235,154.18,777.0
20735,154.04,778.0
47580,153.65,779.0
84792,153.39,780.0
16236,153.36,781.0
22944,153.35,782.0
21991,151.37,783.0
85040A,151.28,784.0
22564,150.79,785.0
21272,150.51,786.0
22179,149.64,787.0
21067,149.35,788.0
84854,149.32,789.0
22435,149.17000000000002,790.0
22948,149.07,791.0
85132C,148.76,792.0
84535B,148.66,793.0
21261,148.32,794.0
85169A,148.31,795.0
82581,148.09,796.0
22805,147.15,797.0
48173C,146.87,798.0
22604,146.84,799.0
90214M,146.66,800.0
48116,146.42000000000002,801.0
22080,146.42,802.0
21033,145.93,803.0
84031A,145.60999999999999,804.0
21539,145.03,805.0
22843,144.97,806.0
22765,144.77,807.0
22778,144.76,808.0
22672,144.16,809.0
22398,144.07999999999998,810.0
72802C,143.46,811.0
21935,143.36,812.0
21814,142.57,813.0
22718,142.49,814.0
21285,141.9,815.0
21698,141.84,816.0
22272,141.84,817.0
21291,141.72,818.0
21244,141.56,819.0
22131,141.39,820.0
72817,141.21,821.0
22839,140.98,822.0
21811,140.56,823.0
22182,140.55,824.0
22441,140.54,825.0
22949,140.52,826.0
21163,140.12,827.0
21355,139.95,828.0
85114B,139.63,829.0
22947,139.38,830.0
22689,139.27,831.0
37423,138.92000000000002,832.0
84685,138.76,833.0
85231G,138.4,834.0
21356,138.32,835.0
18007,138.31,836.0
22224,138.09,837.0
85061W,137.88,838.0
21578,137.12,839.0
47591B,137.09,840.0
22796,136.95,841.0
21815,136.56,842.0
21577,136.51,843.0
21257,136.44,844.0
22171,136.36,845.0
84625D,136.23000000000002,846.0
22456,135.97,847.0
22468,135.89,848.0
20798,135.84,849.0
21504,135.7,850.0
37447,135.64,851.0
21284,135.28,852.0
21242,134.76,853.0
85131D,134.35,854.0
21348,134.17000000000002,855.0
22439,134.04,856.0
85049D,133.76,857.0
84212,132.85,858.0
22135,132.57,859.0
84520B,132.23,860.0
22107,131.71,861.0
21974,131.22,862.0
21012,131.02,863.0
22814,130.77,864.0
22627,130.48,865.0
85084,130.32,866.0
22905,130.22,867.0
82552,129.96,868.0
72760B,129.61,869.0
22742,129.29,870.0
21677,129.25,871.0
22329,128.85,872.0
90214R,128.82,873.0
22902,128.67,874.0
84625C,128.45,875.0
22300,128.37,876.0
20752,128.35,877.0
21161,128.25,878.0
22525,128.12,879.0
21826,127.32000000000001,880.0
21519,126.85000000000001,881.0
21819,126.82,882.0
84534B,126.62,883.0
21810,126.5,884.0
35004B,126.43,885.0
22896,126.23,886.0
21828,125.72,887.0
22760,125.52,888.0
21179,125.43,889.0
85062,124.91,890.0
21872,124.89,891.0
84078A,124.39,892.0
18097C,124.23,893.0
72232,124.05,894.0
22420,123.3,895.0
21934,123.21000000000001,896.0
47556B,123.13,897.0
21866,122.8,898.0
84031B,122.61,899.0
21243,122.53,900.0
22615,122.52,901.0
85114A,122.51,902.0
22550,122.09,903.0
84580,122.01,904.0
21000,121.99,905.0
82011C,121.92,906.0
21622,121.78999999999999,907.0
22558,121.64,908.0
22190,121.46,909.0
84763,121.15,910.0
22988,121.14,911.0
21014,120.92,912.0
21561,120.85,913.0
85045,120.6,914.0
16169K,120.53,915.0
21466,120.53,916.0
22524,120.17,917.0
22606,120.02,918.0
47563A,119.86,919.0
90086,119.83,920.0
48129,119.72,921.0
22095,119.48,922.0
84559B,119.33,923.0
79144C,119.26,924.0
22437,119.24,925.0
22891,119.14,926.0
22279,118.9,927.0
20996,118.5,928.0
22452,118.44,929.0
22406,118.11000000000001,930.0
21215,117.74,931.0
21864,117.7,932.0
21063,117.69,933.0
21421,117.63,934.0
21756,117.15,935.0
21630,117.08,936.0
22055,116.22999999999999,937.0
21379,116.08,938.0
85049B,115.08,939.0
85114C,114.65,940.0
84596B,114.28,941.0
21824,113.55,942.0
51014A,113.49000000000001,943.0
22715,113.37,944.0
21640,112.94,945.0
90214L,112.86,946.0
22360,112.75999999999999,947.0
84559A,112.4,948.0
21983,112.34,949.0
85176,112.34,950.0
20658,112.05,951.0
21823,111.24,952.0
21377,111.11,953.0
21115,110.98,954.0
21537,110.97,955.0
22169,110.96,956.0
21624,110.74,957.0
22427,110.21,958.0
21262,110.2,959.0
21563,109.66,960.0
85049F,109.58,961.0
35471D,109.47,962.0
22583,109.46,963.0
22628,109.24,964.0
21249,109.16,965.0
15034,109.05,966.0
72349B,108.91,967.0
22067,108.87,968.0
21688,108.57000000000001,969.0
22338,108.53,970.0
17091A,108.44,971.0
22072,107.98,972.0
22327,107.94,973.0
85131B,107.7,974.0
21264,107.69,975.0
22378,107.38,976.0
20985,106.75,977.0
22118,106.62,978.0
22756,106.61,979.0
37467,106.44,980.0
22687,106.15,981.0
22035,105.72999999999999,982.0
21528,105.35,983.0
84884A,105.32000000000001,984.0
72799E,105.28,985.0
22480,105.2,986.0
90214N,104.96000000000001,987.0
20767,104.95,988.0
18098C,104.87,989.0
20622,104.60000000000001,990.0
71403,104.27000000000001,991.0
20674,104.22,992.0
21293,104.21000000000001,993.0
22676,104.13,994.0
84670,104.1,995.0
84596E,104.02,996.0
22299,103.56,997.0
70006,103.54,998.0
21989,103.51,999.0
85035B,102.97,1000.0
22245,102.46000000000001,1001.0
22167,102.32000000000001,1002.0
21333,102.28999999999999,1003.0
85135B,102.27,1004.0
20684,102.25999999999999,1005.0
21189,102.17,1006.0
51014L,102.09,1007.0
22450,101.61,1008.0
21363,101.4,1009.0
16012,101.32000000000001,1010.0
21720,100.64,1011.0
21721,100.49,1012.0
85036A,100.17999999999999,1013.0
22337,100.16,1014.0
35924,100.11,1015.0
35095B,100.05,1016.0
46000M,99.75,1017.0
22953,99.31,1018.0
85035A,99.19,1019.0
47590B,99.02,1020.0
22191,98.83,1021.0
22366,98.38,1022.0
21491,98.28,1023.0
84596F,98.05,1024.0
21354,97.89,1025.0
20760,97.57,1026.0
84569B,97.43,1027.0
35970,97.18,1028.0
85230B,97.09,1029.0
22494,97.03999999999999,1030.0
51008,97.01,1031.0
22509,96.89,1032.0
84944,96.69,1033.0
84558A,96.56,1034.0
21675,96.21,1035.0
21017,96.09,1036.0
84849B,96.05,1037.0
22709,95.85,1038.0
22773,95.62,1039.0
21680,95.23,1040.0
22120,95.21000000000001,1041.0
22491,95.04,1042.0
21070,95.03,1043.0
21781,94.88,1044.0
22166,94.61,1045.0
22642,94.58,1046.0
35958,94.56,1047.0
21820,94.35,1048.0
16011,94.27,1049.0
85017B,94.25,1050.0
21219,94.13,1051.0
85172,93.91,1052.0
21744,93.85,1053.0
22185,93.78,1054.0
85132B,93.71,1055.0
21015,93.53,1056.0
35004G,93.16,1057.0
47599B,93.12,1058.0
82551,92.99,1059.0
22227,92.59,1060.0
21201,92.56,1061.0
90214D,92.55000000000001,1062.0
21806,92.36,1063.0
21735,92.17,1064.0
22424,92.03999999999999,1065.0
20686,92.0,1066.0
21439,91.9,1067.0
17012B,91.8,1068.0
85177,91.71,1069.0
22445,91.58,1070.0
72051S,91.49000000000001,1071.0
84828,91.47,1072.0
22061,91.45,1073.0
22777,91.42,1074.0
82567,91.22,1075.0
21875,91.17,1076.0
22412,91.12,1077.0
82613C,91.07000000000001,1078.0
84840,91.03,1079.0
22046,90.8,1080.0
22181,90.78999999999999,1081.0
21988,90.69999999999999,1082.0
22521,90.35,1083.0
20886,90.25,1084.0
22310,90.24,1085.0
20771,90.23,1086.0
22547,89.66,1087.0
72802A,89.54,1088.0
22545,89.45,1089.0
21224,89.34,1090.0
21375,89.2,1091.0
22034,88.98,1092.0
22361,88.89,1093.0
71143,88.76,1094.0
21812,88.35,1095.0
22497,88.34,1096.0
22321,88.19,1097.0
21078,88.17,1098.0
21917,88.09,1099.0
21464,87.8,1100.0
84849D,87.52,1101.0
22208,87.48,1102.0
21446,87.38,1103.0
85034A,87.34,1104.0
22674,87.07,1105.0
21906,86.94,1106.0
22119,86.74,1107.0
21265,86.66,1108.0
90214G,86.59,1109.0
21774,86.57000000000001,1110.0
22707,86.52,1111.0
21054,86.33,1112.0
21106,86.3,1113.0
35598B,86.17,1114.0
72802B,86.14,1115.0
35965,86.09,1116.0
20669,85.97,1117.0
82001S,85.78999999999999,1118.0
47593B,85.73,1119.0
22260,85.67999999999999,1120.0
22339,85.6,1121.0
21112,85.56,1122.0
22939,85.53,1123.0
84519A,85.25999999999999,1124.0
10133,85.25,1125.0
20770,84.98,1126.0
20766,84.91,1127.0
22822,84.78,1128.0
22349,84.74000000000001,1129.0
22069,84.74,1130.0
21056,84.67999999999999,1131.0
22811,84.66,1132.0
22797,84.65,1133.0
21903,84.6,1134.0
22529,84.19,1135.0
90214V,83.66,1136.0
85017A,83.61,1137.0
22199,83.57,1138.0
72598,83.49,1139.0
84659A,83.48,1140.0
21683,83.37,1141.0
22675,83.35,1142.0
22429,83.3,1143.0
84247E,83.14,1144.0
35953,82.91,1145.0
21158,82.89,1146.0
84993A,82.86,1147.0
72800B,82.75,1148.0
22193,82.72,1149.0
22088,82.7,1150.0
21804,82.53999999999999,1151.0
22449,82.48,1152.0
21564,82.46,1153.0
21867,82.44,1154.0
21644,82.38,1155.0
22964,82.29,1156.0
22985,82.22999999999999,1157.0
22626,82.14,1158.0
22686,82.07,1159.0
22853,81.96000000000001,1160.0
22794,81.74,1161.0
22894,81.71,1162.0
21693,81.66,1163.0
22965,81.58,1164.0
84569D,81.56,1165.0
21002,81.28999999999999,1166.0
22073,81.28999999999999,1167.0
21248,81.09,1168.0
21162,81.02,1169.0
85185B,81.01,1170.0
22671,80.85,1171.0
21059,80.83,1172.0
10125,80.7,1173.0
79302M,80.61,1174.0
35972,80.57,1175.0
22440,80.44,1176.0
21911,80.38,1177.0
21813,80.29,1178.0
22180,80.17,1179.0
22786,80.05,1180.0
22852,80.01,1181.0
21609,79.67,1182.0
21055,79.56,1183.0
21364,79.22,1184.0
84510A,79.15,1185.0
85131C,79.15,1186.0
22459,79.12,1187.0
