stock_code,x_coordinate,y_coordinate
22113,11,11
22795,12,10
22312,13,9
21930,14,8
22766,15,7
21801,16,6
22745,17,5
21169,18,4
22027,19,3
84568,20,2
84378,21,1
21975,22,0
85032D,0,23
21908,1,22
22544,2,21
22661,3,20
20979,4,19
84755,5,18
21808,6,17
85150,7,16
22748,8,15
22810,9,14
85049E,10,13
21802,11,12
22382,12,11
17084N,13,10
21803,14,9
22219,15,8
22581,16,7
22784,17,6
21527,18,5
22600,19,4
22151,20,3
85175,21,2
21829,22,1
21833,23,0
35400,0,24
22505,1,23
22082,2,22
22892,3,21
22030,4,20
22662,5,19
22752,6,18
21495,7,17
79000,8,16
21877,9,15
22792,10,14
22563,11,13
22296,12,12
22375,13,11
48138,14,10
22644,15,9
22367,16,8
21587,17,7
22507,18,6
22568,19,5
22087,20,4
22243,21,3
84987,22,2
22570,23,1
22798,24,0
22941,0,25
20750,1,24
22348,2,23
22273,3,22
22090,4,21
21497,5,20
21830,6,19
22737,7,18
22580,8,17
21584,9,16
20685,10,15
22631,11,14
21506,12,13
21191,13,12
10002,14,11
20871,15,10
22297,16,9
22771,17,8
21500,18,7
22196,19,6
20983,20,5
22750,21,4
22749,22,3
22489,23,2
22064,24,1
22757,25,0
20749,0,26
22716,1,25
22599,2,24
22851,3,23
22576,4,22
21559,5,21
21892,6,20
22698,7,19
22753,8,18
21668,9,17
22741,10,16
22736,11,15
20676,12,14
21154,13,13
21035,14,12
22946,15,11
22846,16,10
22714,17,9
21531,18,8
21259,19,7
22728,20,6
22155,21,5
72800E,22,4
21509,23,3
20963,24,2
21034,25,1
20828,26,0
22969,0,27
20679,1,26
84032A,2,25
22634,3,24
84997B,4,23
84880,5,22
21641,6,21
22809,7,20
20961,8,19
21192,9,18
22295,10,17
22968,11,16
22746,12,15
22813,13,14
22150,14,13
22195,15,12
48184,16,11
22183,17,10
21754,18,9
84754,19,8
22899,20,7
22567,21,6
22142,22,5
22730,23,4
72351B,24,3
21533,25,2
22732,26,1
22384,27,0
82580,0,28
22154,1,27
48194,2,26
22768,3,25
22619,4,24
21108,5,23
20966,6,22
22623,7,21
22900,8,20
20978,9,19
22376,10,18
22907,11,17
22663,12,16
35961,13,15
22758,14,14
22588,15,13
22584,16,12
21648,17,11
22651,18,10
22719,19,9
22983,20,8
16161P,21,7
84997D,22,6
84341B,23,5
22531,24,4
22729,25,3
21137,26,2
21507,27,1
22173,28,0
21172,0,29
21623,1,28
20677,2,27
20982,3,26
85199L,4,25
21143,5,24
16156S,6,23
22466,7,22
85038,8,21
21523,9,20
85014B,10,19
21967,11,18
48187,12,17
22537,13,16
72351A,14,15
82582,15,14
21328,16,13
22614,17,12
22938,18,11
84997C,19,10
35964,20,9
21985,21,8
22890,22,7
21122,23,6
21700,24,5
20754,25,4
21868,26,3
22041,27,2
22244,28,1
72816,29,0
22065,0,30
22942,1,29
22587,2,28
47567B,3,27
20956,4,26
22162,5,25
22731,6,24
37450,7,23
21385,8,22
21558,9,21
21430,10,20
22502,11,19
82599,12,18
21508,13,17
21786,14,16
22501,15,15
21592,16,14
47559B,17,13
21588,18,12
22028,19,11
22539,20,10
21891,21,9
22807,22,8
22747,23,7
85199S,24,6
22565,25,5
22156,26,4
22725,27,3
85018D,28,2
37449,29,1
21068,30,0
21658,0,31
22186,1,30
22078,2,29
21218,3,28
22372,4,27
21114,5,26
90214J,6,25
21217,7,24
22772,8,23
21164,9,22
35599D,10,21
22335,11,20
21187,12,19
22635,13,18
22840,14,17
22845,15,16
21124,16,15
22153,17,14
22653,18,13
21900,19,12
21071,20,11
22592,21,10
85066,22,9
21535,23,8
22781,24,7
21743,25,6
22751,26,5
21670,27,4
85064,28,3
47566B,29,2
84352,30,1
84997A,31,0
21755,0,32
22188,1,31
22898,2,30
10135,3,29
22493,4,28
22696,5,27
85118,6,26
22669,7,25
84375,8,24
85227,9,23
21544,10,22
21671,11,21
22548,12,20
22079,13,19
22582,14,18
22966,15,17
84536A,16,16
21981,17,15
22862,18,14
22670,19,13
71053,20,12
37424,21,11
22649,22,10
22895,23,9
22540,24,8
22421,25,7
21329,26,6
20829,27,5
21874,28,4
22598,29,3
21888,30,2
22838,31,1
21673,32,0
37340,0,33
22274,1,32
22589,2,31
85232B,3,30
21669,4,29
21899,5,28
20675,6,27
21807,7,26
21818,8,25
21313,9,24
22465,10,23
20941,11,22
21463,12,21
21352,13,20
22161,14,19
21918,15,18
22690,16,17
85231B,17,16
22800,18,15
21239,19,14
21986,20,13
21832,21,12
20977,22,11
21107,23,10
21902,24,9
22817,25,8
72807A,26,7
20969,27,6
21524,28,5
20992,29,4
21327,30,3
21672,31,2
22487,32,1
22956,33,0
21984,0,34
22713,1,33
85178,2,32
22566,3,31
16161U,4,30
48185,5,29
22352,6,28
82613D,7,27
20682,8,26
22984,9,25
11001,10,24
22109,11,23
85014A,12,22
22639,13,21
22075,14,20
90214A,15,19
22242,16,18
85049G,17,17
22562,18,16
22380,19,15
84988,20,14
22743,21,13
21843,22,12
21340,23,11
21238,24,10
21041,25,9
15056P,26,8
22508,27,7
21380,28,6
47590A,29,5
21428,30,4
21407,31,3
51014C,32,2
21844,33,1
22207,34,0
22624,0,35
22986,1,34
47367B,2,33
22533,3,32
22706,4,31
84971S,5,30
90214E,6,29
85039A,7,28
20981,8,27
21901,9,26
22084,10,25
22625,11,24
21349,12,23
22801,13,22
21216,14,21
90214S,15,20
22779,16,19
22059,17,18
22893,18,17
22152,19,16
85039B,20,15
22744,21,14
22157,22,13
22042,23,12
22735,24,11
22187,25,10
15060B,26,9
22037,27,8
90214C,28,7
22650,29,6
84006,30,5
22049,31,4
21240,32,3
22780,33,2
22535,34,1
22911,35,0
20970,0,36
21730,1,35
21912,2,34
75049L,3,33
22165,4,32
21907,5,31
21155,6,30
21135,7,29
22767,8,28
22451,9,27
22121,10,26
21390,11,25
21381,12,24
84536B,13,23
22955,14,22
79164,15,21
72818,16,20
20717,17,19
21642,18,18
85174,19,17
20986,20,16
22692,21,15
21705,22,14
21069,23,13
22483,24,12
48111,25,11
85132A,26,10
21001,27,9
22775,28,8
22695,29,7
37446,30,6
22301,31,5
22313,32,4
22618,33,3
22636,34,2
35954,35,1
22854,36,0
21260,0,37
22045,1,36
22422,2,35
22586,3,34
22774,4,33
21042,5,32
21777,6,31
22688,7,30
22668,8,29
22460,9,28
35599B,10,27
21147,11,26
72799F,12,25
22708,13,24
22842,14,23
22532,15,22
22841,16,21
70007,17,20
20751,18,19
21621,19,18
21809,20,17
22664,21,16
90214H,22,15
21643,23,14
20681,24,13
85226A,25,12
20665,26,11
22336,27,10
22306,28,9
47599A,29,8
22705,30,7
85068,31,6
22399,32,5
22815,33,4
22212,34,3
20733,35,2
22863,36,1
22488,37,0
22848,0,38
48188,1,37
22908,2,36
17084P,3,35
22024,4,34
22897,5,33
79067,6,32
21787,7,31
20967,8,30
22717,9,29
21890,10,28
72807B,11,27
21876,12,26
21562,13,25
21556,14,24
22849,15,23
22170,16,22
40016,17,21
21452,18,20
17091J,19,19
22789,20,18
82613B,21,17
22454,22,16
21679,23,15
22844,24,14
85049C,25,13
20878,26,12
16238,27,11
22711,28,10
82578,29,9
22819,30,8
21411,31,7
21486,32,6
22413,33,5
85170A,34,4
16235,35,3
20735,36,2
47580,37,1
84792,38,0
16236,0,39
22944,1,38
21991,2,37
85040A,3,36
22564,4,35
21272,5,34
22179,6,33
21067,7,32
84854,8,31
22435,9,30
22948,10,29
85132C,11,28
84535B,12,27
21261,13,26
85169A,14,25
82581,15,24
22805,16,23
48173C,17,22
22604,18,21
90214M,19,20
48116,20,19
22080,21,18
21033,22,17
84031A,23,16
21539,24,15
22843,25,14
22765,26,13
22778,27,12
22672,28,11
22398,29,10
72802C,30,9
21935,31,8
21814,32,7
22718,33,6
21285,34,5
21698,35,4
22272,36,3
21291,37,2
21244,38,1
22131,39,0
72817,0,40
22839,1,39
21811,2,38
22182,3,37
22441,4,36
22949,5,35
21163,6,34
21355,7,33
85114B,8,32
22947,9,31
22689,10,30
37423,11,29
84685,12,28
85231G,13,27
21356,14,26
18007,15,25
22224,16,24
85061W,17,23
21578,18,22
47591B,19,21
22796,20,20
21815,21,19
21577,22,18
21257,23,17
22171,24,16
84625D,25,15
22456,26,14
22468,27,13
20798,28,12
21504,29,11
37447,30,10
21284,31,9
21242,32,8
85131D,33,7
21348,34,6
22439,35,5
85049D,36,4
84212,37,3
22135,38,2
84520B,39,1
22107,40,0
21974,0,41
21012,1,40
22814,2,39
22627,3,38
85084,4,37
22905,5,36
82552,6,35
72760B,7,34
22742,8,33
21677,9,32
22329,10,31
90214R,11,30
22902,12,29
84625C,13,28
22300,14,27
20752,15,26
21161,16,25
22525,17,24
21826,18,23
21519,19,22
21819,20,21
84534B,21,20
21810,22,19
35004B,23,18
22896,24,17
21828,25,16
22760,26,15
21179,27,14
85062,28,13
21872,29,12
84078A,30,11
18097C,31,10
72232,32,9
22420,33,8
21934,34,7
47556B,35,6
21866,36,5
84031B,37,4
21243,38,3
22615,39,2
85114A,40,1
22550,41,0
84580,0,42
21000,1,41
82011C,2,40
21622,3,39
22558,4,38
22190,5,37
84763,6,36
22988,7,35
21014,8,34
21561,9,33
85045,10,32
16169K,11,31
21466,12,30
22524,13,29
22606,14,28
47563A,15,27
90086,16,26
48129,17,25
22095,18,24
84559B,19,23
79144C,20,22
22437,21,21
22891,22,20
22279,23,19
20996,24,18
22452,25,17
22406,26,16
21215,27,15
21864,28,14
21063,29,13
21421,30,12
21756,31,11
21630,32,10
22055,33,9
21379,34,8
85049B,35,7
85114C,36,6
84596B,37,5
21824,38,4
51014A,39,3
22715,40,2
21640,41,1
90214L,42,0
22360,0,43
84559A,1,42
21983,2,41
85176,3,40
20658,4,39
21823,5,38
21377,6,37
21115,7,36
21537,8,35
22169,9,34
21624,10,33
22427,11,32
21262,12,31
21563,13,30
85049F,14,29
35471D,15,28
22583,16,27
22628,17,26
21249,18,25
15034,19,24
72349B,20,23
22067,21,22
21688,22,21
22338,23,20
17091A,24,19
22072,25,18
22327,26,17
85131B,27,16
21264,28,15
22378,29,14
20985,30,13
22118,31,12
22756,32,11
37467,33,10
22687,34,9
22035,35,8
21528,36,7
84884A,37,6
72799E,38,5
22480,39,4
90214N,40,3
20767,41,2
18098C,42,1
20622,43,0
71403,0,44
20674,1,43
21293,2,42
22676,3,41
84670,4,40
84596E,5,39
22299,6,38
70006,7,37
21989,8,36
85035B,9,35
22245,10,34
22167,11,33
21333,12,32
85135B,13,31
20684,14,30
21189,15,29
51014L,16,28
22450,17,27
21363,18,26
16012,19,25
21720,20,24
21721,21,23
85036A,22,22
22337,23,21
35924,24,20
35095B,25,19
46000M,26,18
22953,27,17
85035A,28,16
47590B,29,15
22191,30,14
22366,31,13
21491,32,12
84596F,33,11
21354,34,10
20760,35,9
84569B,36,8
35970,37,7
85230B,38,6
22494,39,5
51008,40,4
22509,41,3
84944,42,2
84558A,43,1
21675,44,0
21017,0,45
84849B,1,44
22709,2,43
22773,3,42
21680,4,41
22120,5,40
22491,6,39
21070,7,38
21781,8,37
22166,9,36
22642,10,35
35958,11,34
21820,12,33
16011,13,32
85017B,14,31
21219,15,30
85172,16,29
21744,17,28
22185,18,27
85132B,19,26
21015,20,25
35004G,21,24
47599B,22,23
82551,23,22
22227,24,21
21201,25,20
90214D,26,19
21806,27,18
21735,28,17
22424,29,16
20686,30,15
21439,31,14
17012B,32,13
85177,33,12
22445,34,11
72051S,35,10
84828,36,9
22061,37,8
22777,38,7
82567,39,6
21875,40,5
22412,41,4
82613C,42,3
84840,43,2
22046,44,1
22181,45,0
21988,0,46
22521,1,45
20886,2,44
22310,3,43
20771,4,42
22547,5,41
72802A,6,40
22545,7,39
21224,8,38
21375,9,37
22034,10,36
22361,11,35
71143,12,34
21812,13,33
22497,14,32
22321,15,31
21078,16,30
21917,17,29
21464,18,28
84849D,19,27
22208,20,26
21446,21,25
85034A,22,24
22674,23,23
21906,24,22
22119,25,21
21265,26,20
90214G,27,19
21774,28,18
22707,29,17
21054,30,16
21106,31,15
35598B,32,14
72802B,33,13
35965,34,12
20669,35,11
82001S,36,10
47593B,37,9
22260,38,8
22339,39,7
21112,40,6
22939,41,5
84519A,42,4
10133,43,3
20770,44,2
20766,45,1
22822,46,0
22349,0,47
22069,1,46
21056,2,45
22811,3,44
22797,4,43
21903,5,42
22529,6,41
90214V,7,40
85017A,8,39
22199,9,38
72598,10,37
84659A,11,36
21683,12,35
22675,13,34
22429,14,33
84247E,15,32
35953,16,31
21158,17,30
84993A,18,29
72800B,19,28
22193,20,27
22088,21,26
21804,22,25
22449,23,24
21564,24,23
21867,25,22
21644,26,21
22964,27,20
22985,28,19
22626,29,18
22686,30,17
22853,31,16
22794,32,15
22894,33,14
21693,34,13
22965,35,12
84569D,36,11
21002,37,10
22073,38,9
21248,39,8
21162,40,7
85185B,41,6
22671,42,5
21059,43,4
10125,44,3
79302M,45,2
35972,46,1
22440,47,0
21911,0,48
21813,1,47
22180,2,46
22786,3,45
22852,4,44
21609,5,43
21055,6,42
21364,7,41
84510A,8,40
85131C,9,39
22459,10,38
85136C,11,37
21288,12,36
22605,13,35
85184C,14,34
21883,15,33
22474,16,32
84750A,17,31
21207,18,30
21361,19,29
22358,20,28
90214F,21,27
90013B,22,26
22785,23,25
90214B,24,24
84625A,25,23
22081,26,22
22520,27,21
22044,28,20
22026,29,19
20761,30,18
90214I,31,17
20984,32,16
22276,33,15
21894,34,14
21745,35,13
22546,36,12
22710,37,11
84789,38,10
21470,39,9
84596G,40,8
21324,41,7
21245,42,6
37500,43,5
21625,44,4
82616B,45,3
20716,46,2
21651,47,1
C2,48,0
22482,0,49
22200,1,48
21741,2,47
62096A,3,46
22453,4,45
21111,5,44
21614,6,43
21865,7,42
21955,8,41
84086C,9,40
85040B,10,39
37343,11,38
22350,12,37
84990,13,36
22132,14,35
22175,15,34
15039,16,33
22304,17,32
22434,18,31
17012A,19,30
84499,20,29
22523,21,28
21715,22,27
84913A,23,26
21716,24,25
21016,25,24
20755,26,23
22678,27,22
20762,28,21
22673,29,20
21692,30,19
21190,31,18
79066K,32,17
21719,33,16
22400,34,15
72130,35,14
22025,36,13
22458,37,12
71038,38,11
21627,39,10
72815,40,9
21706,41,8
22068,42,7
35967,43,6
22278,44,5
37501,45,4
90214P,46,3
22192,47,2
21676,48,1
85067,49,0
35969,0,50
46000S,1,49
21422,2,48
22477,3,47
20772,4,46
35971,5,45
22168,6,44
21171,7,43
21110,8,42
21472,9,41
21125,10,40
17164B,11,39
21817,12,38
85135C,13,37
84581,14,36
84969,15,35
20866,16,34
20777,17,33
21738,18,32
22443,19,31
22543,20,30
22318,21,29
22515,22,28
21656,23,27
22821,24,26
21062,25,25
22425,26,24
75013B,27,23
20765,28,22
85071A,29,21
22660,30,20
22071,31,19
21613,32,18
22769,33,17
22277,34,16
84912B,35,15
84509A,36,14
62018,37,13
21211,38,12
22518,39,11
20758,40,10
85183B,41,9
20998,42,8
17165D,43,7
21126,44,6
21408,45,5
22436,46,4
37464,47,3
21058,48,2
22047,49,1
85124C,0,51
22332,1,50
21412,2,49
22023,3,48
22431,4,47
72803A,5,46
35001W,6,45
85169B,7,44
22613,8,43
22070,9,42
21617,10,41
22830,11,40
22176,12,39
85129D,13,38
85136A,14,37
20734,15,36
17084R,16,35
22365,17,34
22163,18,33
85230G,19,32
22203,20,31
21534,21,30
21220,22,29
21447,23,28
22091,24,27
20764,25,26
21202,26,25
35653,27,24
20950,28,23
90214K,29,22
22679,30,21
21167,31,20
22788,32,19
22089,33,18
22607,34,17
90115,35,16
22283,36,15
20893,37,14
90200A,38,13
21018,39,12
21360,40,11
20768,41,10
22331,42,9
22099,43,8
84952C,44,7
47570B,45,6
17021,46,5
21221,47,4
22405,48,3
85035C,49,2
85049H,0,52
72128,1,51
22357,2,50
90019A,3,49
20894,4,48
16258A,5,47
20617,6,46
21948,7,45
21251,8,44
21557,9,43
21109,10,42
22133,11,41
22522,12,40
85167B,13,39
90200D,14,38
21696,15,37
35833P,16,36
21060,17,35
90200C,18,34
22682,19,33
84569A,20,32
84279P,21,31
21629,22,30
21945,23,29
22473,24,28
85055,25,27
84913B,26,26
85116,27,25
21637,28,24
21294,29,23
21944,30,22
21051,31,21
20702,32,20
85032A,33,19
21195,34,18
21896,35,17
84912A,36,16
21064,37,15
22643,38,14
21358,39,13
21039,40,12
17129F,41,11
21397,42,10
85034B,43,9
84051,44,8
22076,45,7
37495,46,6
85230F,47,5
21145,48,4
21576,49,3
22499,0,53
90087,1,52
21159,2,51
21374,3,50
20615,4,49
21530,5,48
35968,6,47
21371,7,46
22478,8,45
16225,9,44
84686,10,43
22472,11,42
10120,12,41
37448,13,40
22763,14,39
47480,15,38
21846,16,37
22591,17,36
22903,18,35
85232D,19,34
22210,20,33
84012,21,32
22432,22,31
22514,23,30
20931,24,29
22202,25,28
21471,26,27
22926,27,26
21657,28,25
20655,29,24
21581,30,23
22495,31,22
85230E,32,21
21638,33,20
22647,34,19
21132,35,18
72799C,36,17
35832,37,16
22315,38,15
20773,39,14
85129C,40,13
35923,41,12
22915,42,11
21061,43,10
20854,44,9
21723,45,8
85216,46,7
21827,47,6
85230A,48,5
21205,49,4
22914,0,54
16254,1,53
16014,2,52
21389,3,51
84519B,4,50
18098c,5,49
22513,6,48
90104,7,47
21987,8,46
22246,9,45
22094,10,44
21188,11,43
21904,12,42
84683,13,41
22096,14,40
21100,15,39
22684,16,38
21222,17,37
21462,18,36
21724,19,35
21209,20,34
79190B,21,33
22960,22,32
84270,23,31
17107D,24,30
21694,25,29
22621,26,28
35095A,27,27
21690,28,26
21469,29,25
20867,30,24
16033,31,23
22519,32,22
22972,33,21
85071B,34,20
22098,35,19
21401,36,18
21746,37,17
21027,38,16
22052,39,15
21836,40,14
21682,41,13
21707,42,12
90114,43,11
84251G,44,10
84968C,45,9
21942,46,8
21616,47,7
85039C,48,6
22134,49,5
84508A,0,55
21936,1,54
22433,2,53
85016,3,52
20780,4,51
84952B,5,50
21448,6,49
90094,7,48
84596L,8,47
85215,9,46
35241,10,45
20795,11,44
22762,12,43
35991,13,42
21681,14,41
21427,15,40
16169C,16,39
22115,17,38
20748,18,37
84849A,19,36
84923,20,35
72801G,21,34
20903,22,33
22610,23,32
20958,24,31
21123,25,30
20671,26,29
21822,27,28
21467,28,27
21821,29,26
22475,30,25
22364,31,24
85015,32,23
22611,33,22
22479,34,21
22962,35,20
21025,36,19
75131,37,18
20778,38,17
21710,39,16
21200,40,15
22377,41,14
21653,42,13
84459A,43,12
21289,44,11
22703,45,10
21283,46,9
82605,47,8
22526,48,7
84247G,49,6
22677,0,56
79190A,1,55
21650,2,54
21686,3,53
17012F,4,52
22343,5,51
21311,6,50
22448,7,49
22799,8,48
22476,9,47
47504K,10,46
62096B,11,45
90210B,12,44
22701,13,43
22430,14,42
82616C,15,41
79191B,16,40
35271S,17,39
21157,18,38
21725,19,37
72122,20,36
22184,21,35
21357,22,34
21695,23,33
22764,24,32
22117,25,31
85008,26,30
85019C,27,29
22683,28,28
40001,29,27
20757,30,26
85173,31,25
85054,32,24
22309,33,23
21287,34,22
21590,35,21
20759,36,20
85123a,37,19
46776B,38,18
37342,39,17
72349b,40,16
20756,41,15
20832,42,14
21279,43,13
84821,44,12
22922,45,11
22428,46,10
84876D,47,9
20662,48,8
22409,49,7
21628,0,57
84865,1,56
85025C,2,55
18094C,3,54
21547,4,53
22878,5,52
79160,6,51
85049a,7,50
21268,8,49
17012C,9,48
84997b,10,47
22340,11,46
90040A,12,45
84199,13,44
20774,14,43
79191C,15,42
20856,16,41
21204,17,40
22820,18,39
21030,19,38
90192,20,37
21947,21,36
79190D,22,35
21580,23,34
16206B,24,33
22341,25,32
22403,26,31
82494l,27,30
72586,28,29
84963A,29,28
84673B,30,27
22043,31,26
16008,32,25
35833G,33,24
85129B,34,23
22504,35,22
22973,36,21
22324,37,20
84993B,38,19
47469,39,18
82615,40,17
72140F,41,16
21026,42,15
72800D,43,14
85049e,44,13
21937,45,12
21144,46,11
21718,47,10
84678,48,9
22702,49,8
21373,0,58
79163,1,57
84926F,2,56
85159B,3,55
21711,4,54
47591d,5,53
22950,6,52
21878,7,51
16216,8,50
22236,9,49
21038,10,48
22307,11,47
17012D,12,46
79030G,13,45
22057,14,44
22402,15,43
22426,16,42
21714,17,41
22319,18,40
85127,19,39
20769,20,38
21768,21,37
21784,22,36
22211,23,35
35001G,24,34
84313B,25,33
37444C,26,32
84910A,27,31
90214O,28,30
22680,29,29
21263,30,28
84985A,31,27
84750B,32,26
20803,33,25
22510,34,24
20868,35,23
90082D,36,22
84509B,37,21
22262,38,20
90062,39,19
22685,40,18
21066,41,17
22538,42,16
78124,43,15
22308,44,14
84674,45,13
20659,46,12
21773,47,11
21468,48,10
22831,49,9
84360,0,59
21913,1,58
85232A,2,57
85130D,3,56
47594A,4,55
20619,5,54
22974,6,53
21393,7,52
90129F,8,51
22700,9,50
21208,10,49
21031,11,48
20902,12,47
21618,13,46
85099f,14,45
85130B,15,44
22511,16,43
20616,17,42
22485,18,41
84817,19,40
22085,20,39
22681,21,38
21579,22,37
22415,23,36
22761,24,35
22528,25,34
84924A,26,33
21709,27,32
20654,28,31
20775,29,30
22641,30,29
16218,31,28
22471,32,27
20802,33,26
21722,34,25
51020B,35,24
85106,36,23
79026B,37,22
20782,38,21
20652,39,20
22282,40,19
84826,41,18
21626,42,17
20661,43,16
20699,44,15
22918,45,14
46000R,46,13
22063,47,12
21465,48,11
90214Z,49,10
22359,0,60
22222,1,59
84658,2,58
21253,3,57
90161C,4,56
21619,5,55
85025B,6,54
84562A,7,53
85053,8,52
90085,9,51
84247L,10,50
20618,11,49
85203,12,48
85214,13,47
21292,14,46
22920,15,45
85036B,16,44
90002D,17,43
22217,18,42
22638,19,41
17090A,20,40
22322,21,39
22976,22,38
37476,23,37
15056bl,24,36
21713,25,35
37333,26,34
72800C,27,33
84596J,28,32
79144B,29,31
21282,30,30
85078,31,29
21306,32,28
84920,33,27
21286,34,26
22093,35,25
22108,36,24
90209B,37,23
84970s,38,22
20846,39,21
85111,40,20
21246,41,19
21949,42,18
16168M,43,17
16161M,44,16
72814,45,15
22916,46,14
85170B,47,13
21647,48,12
20830,49,11
21028,0,61
85202,1,60
84870C,2,59
20897,3,58
22500,4,57
17038,5,56
22410,6,55
90184C,7,54
21415,8,53
16016,9,52
21194,10,51
72819,11,50
90195B,12,49
22097,13,48
90013C,14,47
85146,15,46
37461,16,45
21662,17,44
22559,18,43
21441,19,42
21769,20,41
21775,21,40
84563A,22,39
90161B,23,38
22640,24,37
22127,25,36
85034C,26,35
22074,27,34
85059,28,33
21206,29,32
22334,30,31
22516,31,30
85170D,32,29
84509G,33,28
22100,34,27
21417,35,26
85014a,36,25
22806,37,24
20738,38,23
22921,39,22
35607A,40,21
21708,41,20
84970l,42,19
21520,43,18
20980,44,17
21399,45,16
37444B,46,15
90116,47,14
22802,48,13
84725,49,12
85130A,0,62
84509c,1,61
17012E,2,60
16048,3,59
17096,4,58
85103,5,57
84459B,6,56
22917,7,55
20960,8,54
84916,9,53
40003,10,52
21645,11,51
22783,12,50
90195A,13,49
90019C,14,48
21933,15,47
22481,16,46
90185D,17,45
46776F,18,44
90096,19,43
85104,20,42
85096,21,41
10123G,22,40
85125,23,39
90147,24,38
20657,25,37
90129A,26,36
21392,27,35
20653,28,34
22194,29,33
22362,30,32
47310M,31,31
85185D,32,30
85107,33,29
72008,34,28
21442,35,27
90134,36,26
47594B,37,25
37474,38,24
20857,39,23
79071B,40,22
85208,41,21
21383,42,20
84997c,43,19
22220,44,18
48173c,45,17
22913,46,16
22128,47,15
84744,48,14
21317,49,13
21880,0,63
22912,1,62
84509E,2,61
21620,3,60
16015,4,59
47013A,5,58
84592,6,57
84819,7,56
22066,8,55
84818,9,54
20707,10,53
84968D,11,52
22541,12,51
21413,13,50
72131,14,49
10134,15,48
21445,16,47
84968A,17,46
90185B,18,45
