stock_code,x_coordinate,y_coordinate,cluster_name,abc_class,slot_id
21928,8,2,A-Group (Fast),A,64
22077,9,1,A-Group (Fast),A,65
20972,10,0,A-Group (Fast),A,66
82580,0,11,A-Group (Fast),A,67
21975,1,10,A-Group (Fast),A,68
84978,2,9,A-Group (Fast),A,69
22112,3,8,A-Group (Fast),A,70
22457,4,7,A-Group (Fast),A,71
84520B,5,6,A-Group (Fast),A,72
21527,6,5,A-Group (Fast),A,73
21210,7,4,A-Group (Fast),A,74
47591D,8,3,A-Group (Fast),A,75
21524,9,2,A-Group (Fast),A,76
48187,10,1,A-Group (Fast),A,77
82486,11,0,A-Group (Fast),A,78
84755,0,12,A-Group (Fast),A,79
21429,1,11,A-Group (Fast),A,80
21791,2,10,A-Group (Fast),A,81
85150,3,9,A-Group (Fast),A,82
20723,4,8,A-Group (Fast),A,83
22352,5,7,A-Group (Fast),A,84
21166,6,6,A-Group (Fast),A,85
21485,7,5,A-Group (Fast),A,86
22381,8,4,A-Group (Fast),A,87
21731,9,3,A-Group (Fast),A,88
82600,10,2,A-Group (Fast),A,89
20718,11,1,A-Group (Fast),A,90
21559,12,0,A-Group (Fast),A,91
84997B,0,13,A-Group (Fast),A,92
84970L,1,12,A-Group (Fast),A,93
21533,2,11,A-Group (Fast),A,94
48185,3,10,A-Group (Fast),A,95
22326,4,9,A-Group (Fast),A,96
22585,5,8,A-Group (Fast),A,97
84997C,6,7,A-Group (Fast),A,98
72741,7,6,A-Group (Fast),A,99
20713,8,5,A-Group (Fast),A,100
71459,9,4,A-Group (Fast),A,101
22528,10,3,A-Group (Fast),A,102
15056N,11,2,A-Group (Fast),A,103
84029E,12,1,A-Group (Fast),A,104
22348,13,0,A-Group (Fast),A,105
21523,0,14,A-Group (Fast),A,106
21930,1,13,A-Group (Fast),A,107
22086,2,12,A-Group (Fast),A,108
84997D,3,11,A-Group (Fast),A,109
22219,4,10,A-Group (Fast),A,110
37503,5,9,A-Group (Fast),A,111
22029,6,8,A-Group (Fast),A,112
22297,7,7,A-Group (Fast),A,113
20971,8,6,A-Group (Fast),A,114
21868,9,5,A-Group (Fast),A,115
22147,10,4,A-Group (Fast),A,116
21217,11,3,A-Group (Fast),A,117
21174,12,2,A-Group (Fast),A,118
22328,13,1,A-Group (Fast),A,119
22367,14,0,A-Group (Fast),A,120
21936,0,15,A-Group (Fast),A,121
22551,1,14,A-Group (Fast),A,122
85232B,2,13,A-Group (Fast),A,123
82483,3,12,A-Group (Fast),A,124
21955,4,11,A-Group (Fast),A,125
22417,5,10,A-Group (Fast),A,126
84406B,6,9,A-Group (Fast),A,127
21622,7,8,A-Group (Fast),A,128
85014B,8,7,A-Group (Fast),A,129
22385,9,6,A-Group (Fast),A,130
21976,10,5,A-Group (Fast),A,131
21156,11,4,A-Group (Fast),A,132
22556,12,3,A-Group (Fast),A,133
21035,13,2,A-Group (Fast),A,134
84378,14,1,A-Group (Fast),A,135
15056BL,15,0,A-Group (Fast),A,136
22087,0,16,A-Group (Fast),A,137
21531,1,15,A-Group (Fast),A,138
22294,2,14,A-Group (Fast),A,139
21238,3,13,A-Group (Fast),A,140
82581,4,12,A-Group (Fast),A,141
82583,5,11,A-Group (Fast),A,142
20712,6,10,A-Group (Fast),A,143
20754,7,9,A-Group (Fast),A,144
20711,8,8,A-Group (Fast),A,145
84270,9,7,A-Group (Fast),A,146
22353,10,6,A-Group (Fast),A,147
22055,11,5,A-Group (Fast),A,148
84692,12,4,A-Group (Fast),A,149
20676,13,3,A-Group (Fast),A,150
84988,14,2,A-Group (Fast),A,151
21218,15,1,A-Group (Fast),A,152
20750,16,0,A-Group (Fast),A,153
21314,0,17,A-Group (Fast),A,154
47590B,1,16,A-Group (Fast),A,155
21165,2,15,A-Group (Fast),A,156
21172,3,14,A-Group (Fast),A,157
22198,4,13,A-Group (Fast),A,158
22196,5,12,A-Group (Fast),A,159
22557,6,11,A-Group (Fast),A,160
21121,7,10,A-Group (Fast),A,161
48111,8,9,A-Group (Fast),A,162
21155,9,8,A-Group (Fast),A,163
20975,10,7,A-Group (Fast),A,164
22554,11,6,A-Group (Fast),A,165
22027,12,5,A-Group (Fast),A,166
22624,13,4,A-Group (Fast),A,167
21908,14,3,A-Group (Fast),A,168
22082,15,2,A-Group (Fast),A,169
21985,16,1,A-Group (Fast),A,170
22296,17,0,A-Group (Fast),A,171
21539,0,18,A-Group (Fast),A,172
21889,1,17,A-Group (Fast),A,173
47556B,2,16,A-Group (Fast),A,174
84987,3,15,A-Group (Fast),A,175
22487,4,14,A-Group (Fast),A,176
21122,5,13,A-Group (Fast),A,177
15036,6,12,A-Group (Fast),A,178
21498,7,11,A-Group (Fast),A,179
22558,8,10,A-Group (Fast),A,180
82552,9,9,A-Group (Fast),A,181
21974,10,8,A-Group (Fast),A,182
21094,11,7,A-Group (Fast),A,183
47568,12,6,A-Group (Fast),A,184
84077,13,5,A-Group (Fast),A,185
22413,14,4,A-Group (Fast),A,186
22271,15,3,A-Group (Fast),A,187
22173,16,2,A-Group (Fast),A,188
21078,17,1,A-Group (Fast),A,189
21239,18,0,A-Group (Fast),A,190
84050,0,19,A-Group (Fast),A,191
22617,1,18,A-Group (Fast),A,192
21240,2,17,A-Group (Fast),A,193
21154,3,16,A-Group (Fast),A,194
21900,4,15,A-Group (Fast),A,195
22273,5,14,A-Group (Fast),A,196
22666,6,13,A-Group (Fast),A,197
22561,7,12,A-Group (Fast),A,198
21164,8,11,A-Group (Fast),A,199
82484,9,10,A-Group (Fast),A,200
22553,10,9,A-Group (Fast),A,201
21481,11,8,A-Group (Fast),A,202
84839,12,7,A-Group (Fast),A,203
71477,13,6,A-Group (Fast),A,204
22064,14,5,A-Group (Fast),A,205
21937,15,4,A-Group (Fast),A,206
82551,16,3,A-Group (Fast),A,207
22646,17,2,A-Group (Fast),A,208
22464,18,1,A-Group (Fast),A,209
48184,19,0,A-Group (Fast),A,210
22150,0,20,A-Group (Fast),A,211
22502,1,19,A-Group (Fast),A,212
22295,2,18,A-Group (Fast),A,213
84029G,3,17,A-Group (Fast),A,214
21870,4,16,A-Group (Fast),A,215
47559B,5,15,A-Group (Fast),A,216
85014A,6,14,A-Group (Fast),A,217
20677,7,13,A-Group (Fast),A,218
21673,8,12,A-Group (Fast),A,219
21672,9,11,A-Group (Fast),A,220
22607,10,10,A-Group (Fast),A,221
22073,11,9,A-Group (Fast),A,222
22507,12,8,A-Group (Fast),A,223
22212,13,7,A-Group (Fast),A,224
21912,14,6,A-Group (Fast),A,225
21086,15,5,A-Group (Fast),A,226
82578,16,4,A-Group (Fast),B,227
85066,17,3,A-Group (Fast),A,228
21918,18,2,A-Group (Fast),A,229
22195,19,1,A-Group (Fast),A,230
48188,20,0,A-Group (Fast),A,231
21888,0,21,A-Group (Fast),A,232
20974,1,20,A-Group (Fast),A,233
47566B,2,19,A-Group (Fast),A,234
21670,3,18,A-Group (Fast),A,235
84380,4,17,A-Group (Fast),A,236
22088,5,16,A-Group (Fast),A,237
22505,6,15,A-Group (Fast),A,238
21871,7,14,A-Group (Fast),A,239
22030,8,13,A-Group (Fast),A,240
21907,9,12,A-Group (Fast),A,241
79321,10,11,A-Group (Fast),A,242
22131,11,10,A-Group (Fast),A,243
22630,12,9,A-Group (Fast),A,244
21877,13,8,A-Group (Fast),A,245
22555,14,7,A-Group (Fast),A,246
21935,15,6,A-Group (Fast),A,247
21124,16,5,A-Group (Fast),A,248
22301,17,4,A-Group (Fast),A,249
21668,18,3,A-Group (Fast),A,250
22380,19,2,A-Group (Fast),A,251
79323W,20,1,A-Group (Fast),A,252
71053,21,0,A-Group (Fast),A,253
22061,0,22,A-Group (Fast),A,254
21390,1,21,A-Group (Fast),A,255
21411,2,20,A-Group (Fast),A,256
22488,3,19,A-Group (Fast),A,257
21669,4,18,A-Group (Fast),A,258
79029,5,17,A-Group (Fast),A,259
22499,6,16,A-Group (Fast),A,260
22444,7,15,A-Group (Fast),A,261
22329,8,14,A-Group (Fast),A,262
22629,9,13,A-Group (Fast),A,263
20679,10,12,A-Group (Fast),A,264
85049E,11,11,A-Group (Fast),A,265
35961,12,10,A-Group (Fast),A,266
22188,13,9,A-Group (Fast),A,267
22508,14,8,A-Group (Fast),A,268
21901,15,7,A-Group (Fast),A,269
21385,16,6,A-Group (Fast),A,270
37448,17,5,A-Group (Fast),A,271
22084,18,4,A-Group (Fast),A,272
22625,19,3,A-Group (Fast),A,273
22151,20,2,A-Group (Fast),A,274
20675,21,1,A-Group (Fast),A,275
20749,22,0,A-Group (Fast),A,276
21891,0,23,A-Group (Fast),A,277
22584,1,22,A-Group (Fast),A,278
22227,2,21,A-Group (Fast),A,279
21484,3,20,A-Group (Fast),A,280
22467,4,19,A-Group (Fast),A,281
21380,5,18,A-Group (Fast),A,282
21216,6,17,A-Group (Fast),A,283
21509,7,16,A-Group (Fast),B,284
84949,8,15,A-Group (Fast),A,285
21114,9,14,A-Group (Fast),A,286
22333,10,13,A-Group (Fast),A,287
20979,11,12,A-Group (Fast),A,288
22910,12,11,A-Group (Fast),A,289
21260,13,10,A-Group (Fast),A,290
22605,14,9,A-Group (Fast),A,291
82582,15,8,A-Group (Fast),A,292
21671,16,7,A-Group (Fast),A,293
22236,17,6,A-Group (Fast),A,294
22358,18,5,A-Group (Fast),A,295
22327,19,4,A-Group (Fast),A,296
21242,20,3,A-Group (Fast),A,297
21777,21,2,A-Group (Fast),A,298
22274,22,1,A-Group (Fast),A,299
22080,23,0,A-Group (Fast),A,300
20828,0,24,A-Group (Fast),A,301
35004C,1,23,A-Group (Fast),A,302
22366,2,22,A-Group (Fast),A,303
21980,3,21,A-Group (Fast),A,304
20983,4,20,A-Group (Fast),A,305
22275,5,19,A-Group (Fast),A,306
20717,6,18,A-Group (Fast),A,307
72760B,7,17,A-Group (Fast),A,308
79067,8,16,A-Group (Fast),A,309
21915,9,15,A-Group (Fast),A,310
21506,10,14,A-Group (Fast),A,311
21892,11,13,A-Group (Fast),A,312
82599,12,12,A-Group (Fast),A,313
21259,13,11,A-Group (Fast),A,314
37449,14,10,A-Group (Fast),A,315
21844,15,9,A-Group (Fast),A,316
22072,16,8,A-Group (Fast),A,317
84832,17,7,A-Group (Fast),A,318
22456,18,6,A-Group (Fast),A,319
21186,19,5,A-Group (Fast),A,320
22570,20,4,A-Group (Fast),A,321
22645,21,3,A-Group (Fast),A,322
48129,22,2,A-Group (Fast),A,323
22952,23,1,A-Group (Fast),A,324
35400,24,0,A-Group (Fast),A,325
22569,0,25,A-Group (Fast),A,326
21508,1,24,A-Group (Fast),B,327
22079,2,23,A-Group (Fast),A,328
21108,3,22,A-Group (Fast),A,329
22568,4,21,A-Group (Fast),A,330
21558,5,20,A-Group (Fast),A,331
22242,6,19,A-Group (Fast),A,332
48173C,7,18,A-Group (Fast),A,333
85049B,8,17,A-Group (Fast),A,334
84997A,9,16,A-Group (Fast),A,335
37370,10,15,A-Group (Fast),A,336
22300,11,14,A-Group (Fast),A,337
21899,12,13,A-Group (Fast),A,338
21911,13,12,A-Group (Fast),A,339
21989,14,11,A-Group (Fast),A,340
20682,15,10,A-Group (Fast),A,341
22245,16,9,A-Group (Fast),A,342
21507,17,8,A-Group (Fast),B,343
21258,18,7,A-Group (Fast),A,344
21136,19,6,A-Group (Fast),A,345
21544,20,5,A-Group (Fast),A,346
85042,21,4,A-Group (Fast),A,347
15060B,22,3,A-Group (Fast),A,348
22169,23,2,A-Group (Fast),A,349
21714,24,1,A-Group (Fast),A,350
22492,25,0,A-Group (Fast),A,351
21519,0,26,A-Group (Fast),B,352
22667,1,25,A-Group (Fast),A,353
21561,2,24,A-Group (Fast),A,354
21381,3,23,A-Group (Fast),A,355
22909,4,22,A-Group (Fast),A,356
22113,5,21,A-Group (Fast),A,357
21916,6,20,A-Group (Fast),B,358
21700,7,19,A-Group (Fast),A,359
85061W,8,18,A-Group (Fast),A,360
21407,9,17,A-Group (Fast),A,361
22489,10,16,A-Group (Fast),A,362
22303,11,15,A-Group (Fast),A,363
79000,12,14,A-Group (Fast),A,364
72351B,13,13,A-Group (Fast),A,365
21431,14,12,A-Group (Fast),A,366
21624,15,11,A-Group (Fast),A,367
22560,16,10,A-Group (Fast),A,368
22109,17,9,A-Group (Fast),A,369
22156,18,8,A-Group (Fast),A,370
21934,19,7,A-Group (Fast),A,371
21874,20,6,A-Group (Fast),A,372
21590,21,5,A-Group (Fast),A,373
22694,22,4,A-Group (Fast),A,374
22170,23,3,A-Group (Fast),A,375
21982,24,2,A-Group (Fast),A,376
21704,25,1,A-Group (Fast),A,377
22185,26,0,A-Group (Fast),A,378
18098c,0,27,A-Group (Fast),A,379
22659,1,26,A-Group (Fast),A,380
84880,2,25,A-Group (Fast),A,381
21756,3,24,A-Group (Fast),A,382
20982,4,23,A-Group (Fast),B,383
22501,5,22,A-Group (Fast),A,384
22549,6,21,A-Group (Fast),A,385
48116,7,20,A-Group (Fast),A,386
22158,8,19,A-Group (Fast),A,387
85049A,9,18,A-Group (Fast),A,388
22023,10,17,A-Group (Fast),B,389
85175,11,16,A-Group (Fast),A,390
22665,12,15,A-Group (Fast),A,391
22276,13,14,A-Group (Fast),A,392
22644,14,13,A-Group (Fast),A,393
79323P,15,12,A-Group (Fast),A,394
47590A,16,11,A-Group (Fast),A,395
85049D,17,10,A-Group (Fast),A,396
22089,18,9,A-Group (Fast),A,397
84971S,19,8,A-Group (Fast),A,398
21243,20,7,A-Group (Fast),A,399
22431,21,6,A-Group (Fast),A,400
21890,22,5,A-Group (Fast),A,401
21770,23,4,A-Group (Fast),A,402
22620,24,3,A-Group (Fast),A,403
21500,25,2,A-Group (Fast),A,404
22218,26,1,A-Group (Fast),A,405
21241,27,0,A-Group (Fast),B,406
21430,0,28,A-Group (Fast),A,407
84032A,1,27,A-Group (Fast),A,408
21623,2,26,A-Group (Fast),A,409
85065,3,25,A-Group (Fast),A,410
20970,4,24,A-Group (Fast),A,411
21071,5,23,A-Group (Fast),A,412
22059,6,22,A-Group (Fast),A,413
10002,7,21,A-Group (Fast),A,414
22357,8,20,A-Group (Fast),A,415
22621,9,19,A-Group (Fast),A,416
21577,10,18,A-Group (Fast),A,417
20966,11,17,A-Group (Fast),A,418
84947,12,16,A-Group (Fast),A,419
22215,13,15,A-Group (Fast),A,420
20829,14,14,A-Group (Fast),A,421
21169,15,13,A-Group (Fast),A,422
84792,16,12,A-Group (Fast),A,423
22424,17,11,A-Group (Fast),A,424
21746,18,10,A-Group (Fast),A,425
21745,19,9,A-Group (Fast),A,426
22627,20,8,A-Group (Fast),A,427
21658,21,7,A-Group (Fast),A,428
48189,22,6,A-Group (Fast),A,429
22115,23,5,A-Group (Fast),A,430
20681,24,4,A-Group (Fast),A,431
20977,25,3,A-Group (Fast),A,432
22623,26,2,A-Group (Fast),A,433
22622,27,1,A-Group (Fast),A,434
22699,28,0,A-Group (Fast),A,435
84032B,0,29,A-Group (Fast),A,436
21363,1,28,A-Group (Fast),A,437
85049C,2,27,A-Group (Fast),A,438
22045,3,26,A-Group (Fast),A,439
22534,4,25,A-Group (Fast),A,440
21116,5,24,A-Group (Fast),A,441
22427,6,23,A-Group (Fast),A,442
84375,7,22,A-Group (Fast),A,443
21715,8,21,A-Group (Fast),A,444
22652,9,20,A-Group (Fast),A,445
21914,10,19,A-Group (Fast),A,446
22521,11,18,A-Group (Fast),B,447
21033,12,17,A-Group (Fast),A,448
84945,13,16,A-Group (Fast),A,449
20969,14,15,A-Group (Fast),A,450
21488,15,14,A-Group (Fast),A,451
22037,16,13,A-Group (Fast),B,452
21479,17,12,A-Group (Fast),A,453
21326,18,11,A-Group (Fast),A,454
22179,19,10,A-Group (Fast),A,455
21875,20,9,A-Group (Fast),A,456
22331,21,8,A-Group (Fast),A,457
20751,22,7,A-Group (Fast),A,458
22365,23,6,A-Group (Fast),A,459
22078,24,5,A-Group (Fast),A,460
22865,25,4,A-Group (Fast),A,461
22697,26,3,A-Group (Fast),A,462
21115,27,2,A-Group (Fast),A,463
22244,28,1,A-Group (Fast),A,464
22649,29,0,A-Group (Fast),A,465
21716,0,30,A-Group (Fast),A,466
21876,1,29,A-Group (Fast),A,467
21472,2,28,A-Group (Fast),A,468
22567,3,27,A-Group (Fast),A,469
21042,4,26,A-Group (Fast),A,470
37450,5,25,A-Group (Fast),A,471
84580,6,24,A-Group (Fast),A,472
21486,7,23,A-Group (Fast),A,473
84510A,8,22,A-Group (Fast),B,474
20674,9,21,A-Group (Fast),A,475
21432,10,20,A-Group (Fast),A,476
21718,11,19,A-Group (Fast),A,477
22636,12,18,A-Group (Fast),A,478
85047,13,17,A-Group (Fast),A,479
22207,14,16,A-Group (Fast),A,480
21781,15,15,A-Group (Fast),A,481
37495,16,14,A-Group (Fast),A,482
84536A,17,13,A-Group (Fast),B,483
22635,18,12,A-Group (Fast),A,484
21100,19,11,A-Group (Fast),A,485
84691,20,10,A-Group (Fast),A,486
22171,21,9,A-Group (Fast),A,487
21491,22,8,A-Group (Fast),A,488
22435,23,7,A-Group (Fast),A,489
20981,24,6,A-Group (Fast),A,490
16156S,25,5,A-Group (Fast),A,491
22520,26,4,A-Group (Fast),B,492
22378,27,3,A-Group (Fast),A,493
21497,28,2,A-Group (Fast),A,494
22241,29,1,A-Group (Fast),A,495
22335,30,0,A-Group (Fast),A,496
72351A,0,31,A-Group (Fast),A,497
22662,1,30,A-Group (Fast),A,498
22412,2,29,A-Group (Fast),A,499
21244,3,28,A-Group (Fast),A,500
37447,4,27,A-Group (Fast),A,501
20978,5,26,A-Group (Fast),A,502
22616,6,25,A-Group (Fast),A,503
22525,7,24,A-Group (Fast),B,504
21981,8,23,A-Group (Fast),A,505
22432,9,22,A-Group (Fast),A,506
48197,10,21,A-Group (Fast),A,507
22866,11,20,A-Group (Fast),A,508
21986,12,19,A-Group (Fast),A,509
20973,13,18,A-Group (Fast),A,510
21713,14,17,A-Group (Fast),A,511
21137,15,16,A-Group (Fast),A,512
21902,16,15,A-Group (Fast),B,513
16237,17,14,A-Group (Fast),B,514
22759,18,13,A-Group (Fast),A,515
22588,19,12,A-Group (Fast),A,516
85040A,20,11,A-Group (Fast),B,517
22203,21,10,A-Group (Fast),A,518
22318,22,9,A-Group (Fast),A,519
21866,23,8,A-Group (Fast),B,520
22498,24,7,A-Group (Fast),A,521
22465,25,6,A-Group (Fast),A,522
84884A,26,5,A-Group (Fast),A,523
21499,27,4,A-Group (Fast),A,524
22180,28,3,A-Group (Fast),A,525
20961,29,2,A-Group (Fast),A,526
22063,30,1,A-Group (Fast),A,527
85049G,31,0,A-Group (Fast),A,528
21578,0,32,A-Group (Fast),A,529
20658,1,31,A-Group (Fast),B,530
21833,2,30,A-Group (Fast),A,531
21703,3,29,A-Group (Fast),B,532
22429,4,28,A-Group (Fast),A,533
22130,5,27,A-Group (Fast),A,534
35970,6,26,A-Group (Fast),A,535
22734,7,25,A-Group (Fast),A,536
21328,8,24,A-Group (Fast),B,537
21041,9,23,A-Group (Fast),A,538
22441,10,22,A-Group (Fast),A,539
21592,11,21,A-Group (Fast),A,540
21906,12,20,A-Group (Fast),A,541
22595,13,19,A-Group (Fast),A,542
22867,14,18,A-Group (Fast),A,543
20963,15,17,A-Group (Fast),A,544
82597,16,16,A-Group (Fast),A,545
37446,17,15,A-Group (Fast),A,546
21257,18,14,A-Group (Fast),A,547
21917,19,13,A-Group (Fast),B,548
22634,20,12,A-Group (Fast),A,549
22028,21,11,A-Group (Fast),B,550
22272,22,10,A-Group (Fast),A,551
22371,23,9,A-Group (Fast),A,552
22199,24,8,A-Group (Fast),A,553
21179,25,7,A-Group (Fast),A,554
22243,26,6,A-Group (Fast),A,555
22224,27,5,A-Group (Fast),A,556
22606,28,4,A-Group (Fast),A,557
22698,29,3,A-Group (Fast),A,558
22468,30,2,A-Group (Fast),A,559
85064,31,1,A-Group (Fast),A,560
21098,32,0,A-Group (Fast),A,561
47580,0,33,A-Group (Fast),A,562
22583,1,32,A-Group (Fast),A,563
22132,2,31,A-Group (Fast),B,564
72008,3,30,A-Group (Fast),B,565
84975,4,29,A-Group (Fast),A,566
22332,5,28,A-Group (Fast),A,567
85049F,6,27,A-Group (Fast),B,568
22349,7,26,A-Group (Fast),A,569
22283,8,25,A-Group (Fast),A,570
21135,9,24,A-Group (Fast),A,571
21933,10,23,A-Group (Fast),A,572
21988,11,22,A-Group (Fast),A,573
21679,12,21,A-Group (Fast),A,574
22361,13,20,A-Group (Fast),A,575
22418,14,19,A-Group (Fast),A,576
22377,15,18,A-Group (Fast),A,577
22035,16,17,A-Group (Fast),B,578
21272,17,16,A-Group (Fast),A,579
22202,18,15,A-Group (Fast),A,580
22668,19,14,A-Group (Fast),A,581
22024,20,13,A-Group (Fast),B,582
85038,21,12,A-Group (Fast),A,583
84849B,22,11,A-Group (Fast),A,584
22168,23,10,A-Group (Fast),A,585
21864,24,9,A-Group (Fast),A,586
22121,25,8,A-Group (Fast),A,587
85206A,26,7,A-Group (Fast),A,588
21541,27,6,A-Group (Fast),B,589
21214,28,5,A-Group (Fast),A,590
21987,29,4,A-Group (Fast),A,591
20960,30,3,A-Group (Fast),A,592
85040B,31,2,A-Group (Fast),A,593
22523,32,1,A-Group (Fast),B,594
22485,33,0,A-Group (Fast),A,595
22631,0,34,A-Group (Fast),A,596
84347,1,33,A-Group (Fast),A,597
22315,2,32,A-Group (Fast),B,598
22637,3,31,A-Group (Fast),A,599
21504,4,30,A-Group (Fast),B,600
21355,5,29,A-Group (Fast),A,601
21361,6,28,A-Group (Fast),A,602
21329,7,27,A-Group (Fast),B,603
85199S,8,26,A-Group (Fast),B,604
21903,9,25,A-Group (Fast),A,605
21330,10,24,A-Group (Fast),A,606
22752,11,23,A-Group (Fast),A,607
22494,12,22,A-Group (Fast),B,608
21787,13,21,A-Group (Fast),A,609
21077,14,20,A-Group (Fast),A,610
21495,15,19,A-Group (Fast),A,611
46000M,16,18,A-Group (Fast),A,612
22437,17,17,A-Group (Fast),A,613
47591B,18,16,A-Group (Fast),B,614
21832,19,15,A-Group (Fast),A,615
22122,20,14,A-Group (Fast),A,616
22200,21,13,A-Group (Fast),A,617
22350,22,12,A-Group (Fast),A,618
21967,23,11,A-Group (Fast),A,619
21542,24,10,A-Group (Fast),B,620
20702,25,9,A-Group (Fast),A,621
22354,26,8,A-Group (Fast),A,622
22563,27,7,A-Group (Fast),A,623
21984,28,6,A-Group (Fast),A,624
21333,29,5,A-Group (Fast),A,625
21357,30,4,A-Group (Fast),B,626
22119,31,3,A-Group (Fast),A,627
22524,32,2,A-Group (Fast),B,628
21932,33,1,A-Group (Fast),A,629
84990,34,0,A-Group (Fast),A,630
22026,0,35,A-Group (Fast),B,631
22110,1,34,A-Group (Fast),A,632
20886,2,33,A-Group (Fast),A,633
22522,3,32,A-Group (Fast),B,634
21786,4,31,A-Group (Fast),B,635
22835,5,30,A-Group (Fast),A,636
21452,6,29,A-Group (Fast),A,637
22302,7,28,A-Group (Fast),A,638
21563,8,27,A-Group (Fast),A,639
21482,9,26,A-Group (Fast),A,640
47567B,10,25,A-Group (Fast),A,641
15056P,11,24,A-Group (Fast),A,642
84536B,12,23,A-Group (Fast),C,643
22070,13,22,A-Group (Fast),A,644
22433,14,21,A-Group (Fast),A,645
85231B,15,20,A-Group (Fast),B,646
22663,16,19,A-Group (Fast),A,647
47570B,17,18,A-Group (Fast),A,648
47599A,18,17,A-Group (Fast),A,649
22145,19,16,A-Group (Fast),A,650
21829,20,15,A-Group (Fast),B,651
22619,21,14,A-Group (Fast),A,652
21110,22,13,A-Group (Fast),A,653
21327,23,12,A-Group (Fast),B,654
46000S,24,11,A-Group (Fast),A,655
22654,25,10,A-Group (Fast),A,656
17003,26,9,A-Group (Fast),A,657
22125,27,8,A-Group (Fast),A,658
85206B,28,7,A-Group (Fast),A,659
22057,29,6,A-Group (Fast),A,660
85068,30,5,A-Group (Fast),A,661
22360,31,4,A-Group (Fast),A,662
21992,32,3,A-Group (Fast),A,663
47505,33,2,A-Group (Fast),A,664
72807c,34,1,A-Group (Fast),A,665
35832,35,0,A-Group (Fast),A,666
21313,0,36,A-Group (Fast),A,667
21447,1,35,A-Group (Fast),A,668
84596B,2,34,A-Group (Fast),B,669
21107,3,33,A-Group (Fast),A,670
20752,4,32,A-Group (Fast),B,671
21614,5,31,A-Group (Fast),A,672
22278,6,30,A-Group (Fast),A,673
16161P,7,29,A-Group (Fast),A,674
21171,8,28,A-Group (Fast),B,675
22518,9,27,A-Group (Fast),A,676
21534,10,26,A-Group (Fast),A,677
22133,11,25,A-Group (Fast),B,678
85216,12,24,A-Group (Fast),A,679
22550,13,23,A-Group (Fast),A,680
22419,14,22,A-Group (Fast),B,681
35001W,15,21,A-Group (Fast),A,682
37502,16,20,A-Group (Fast),A,683
22530,17,19,A-Group (Fast),A,684
85174,18,18,A-Group (Fast),A,685
21587,19,17,A-Group (Fast),A,686
79323LP,20,16,A-Group (Fast),A,687
20967,21,15,A-Group (Fast),A,688
22748,22,14,A-Group (Fast),A,689
84509A,23,13,A-Group (Fast),A,690
22596,24,12,A-Group (Fast),A,691
21826,25,11,A-Group (Fast),B,692
